,HDAM,HPHS
01/01/2016 00:00,0.264739259,0.264739259
01/01/2016 01:00,0.265383443,0.265383443
01/01/2016 02:00,0.266027626,0.266027626
01/01/2016 03:00,0.266671809,0.266671809
01/01/2016 04:00,0.267315992,0.267315992
01/01/2016 05:00,0.267960176,0.267960176
01/01/2016 06:00,0.268604359,0.268604359
01/01/2016 07:00,0.269248542,0.269248542
01/01/2016 08:00,0.269892725,0.269892725
01/01/2016 09:00,0.270536908,0.270536908
01/01/2016 10:00,0.271181092,0.271181092
01/01/2016 11:00,0.271825275,0.271825275
01/01/2016 12:00,0.272469458,0.272469458
01/01/2016 13:00,0.273113641,0.273113641
01/01/2016 14:00,0.273757825,0.273757825
01/01/2016 15:00,0.274402008,0.274402008
01/01/2016 16:00,0.275046191,0.275046191
01/01/2016 17:00,0.275690374,0.275690374
01/01/2016 18:00,0.276334557,0.276334557
01/01/2016 19:00,0.276978741,0.276978741
01/01/2016 20:00,0.277622924,0.277622924
01/01/2016 21:00,0.278267107,0.278267107
01/01/2016 22:00,0.27891129,0.27891129
01/01/2016 23:00,0.279555473,0.279555473
01/02/2016 00:00,0.280199657,0.280199657
01/02/2016 01:00,0.281261418,0.281261418
01/02/2016 02:00,0.282323179,0.282323179
01/02/2016 03:00,0.283384939,0.283384939
01/02/2016 04:00,0.2844467,0.2844467
01/02/2016 05:00,0.285508461,0.285508461
01/02/2016 06:00,0.286570222,0.286570222
01/02/2016 07:00,0.287631983,0.287631983
01/02/2016 08:00,0.288693744,0.288693744
01/02/2016 09:00,0.289755505,0.289755505
01/02/2016 10:00,0.290817266,0.290817266
01/02/2016 11:00,0.291879027,0.291879027
01/02/2016 12:00,0.292940788,0.292940788
01/02/2016 13:00,0.294002549,0.294002549
01/02/2016 14:00,0.29506431,0.29506431
01/02/2016 15:00,0.296126071,0.296126071
01/02/2016 16:00,0.297187832,0.297187832
01/02/2016 17:00,0.298249593,0.298249593
01/02/2016 18:00,0.299311353,0.299311353
01/02/2016 19:00,0.300373114,0.300373114
01/02/2016 20:00,0.301434875,0.301434875
01/02/2016 21:00,0.302496636,0.302496636
01/02/2016 22:00,0.303558397,0.303558397
01/02/2016 23:00,0.304620158,0.304620158
01/03/2016 00:00,0.305681919,0.305681919
01/03/2016 01:00,0.306669003,0.306669003
01/03/2016 02:00,0.307656087,0.307656087
01/03/2016 03:00,0.308643171,0.308643171
01/03/2016 04:00,0.309630256,0.309630256
01/03/2016 05:00,0.31061734,0.31061734
01/03/2016 06:00,0.311604424,0.311604424
01/03/2016 07:00,0.312591508,0.312591508
01/03/2016 08:00,0.313578592,0.313578592
01/03/2016 09:00,0.314565676,0.314565676
01/03/2016 10:00,0.31555276,0.31555276
01/03/2016 11:00,0.316539844,0.316539844
01/03/2016 12:00,0.317526929,0.317526929
01/03/2016 13:00,0.318514013,0.318514013
01/03/2016 14:00,0.319501097,0.319501097
01/03/2016 15:00,0.320488181,0.320488181
01/03/2016 16:00,0.321475265,0.321475265
01/03/2016 17:00,0.322462349,0.322462349
01/03/2016 18:00,0.323449433,0.323449433
01/03/2016 19:00,0.324436517,0.324436517
01/03/2016 20:00,0.325423601,0.325423601
01/03/2016 21:00,0.326410686,0.326410686
01/03/2016 22:00,0.32739777,0.32739777
01/03/2016 23:00,0.328384854,0.328384854
01/04/2016 00:00,0.329371938,0.329371938
01/04/2016 01:00,0.330322414,0.330322414
01/04/2016 02:00,0.331272891,0.331272891
01/04/2016 03:00,0.332223367,0.332223367
01/04/2016 04:00,0.333173844,0.333173844
01/04/2016 05:00,0.33412432,0.33412432
01/04/2016 06:00,0.335074797,0.335074797
01/04/2016 07:00,0.336025273,0.336025273
01/04/2016 08:00,0.33697575,0.33697575
01/04/2016 09:00,0.337926226,0.337926226
01/04/2016 10:00,0.338876703,0.338876703
01/04/2016 11:00,0.339827179,0.339827179
01/04/2016 12:00,0.340777656,0.340777656
01/04/2016 13:00,0.341728132,0.341728132
01/04/2016 14:00,0.342678609,0.342678609
01/04/2016 15:00,0.343629085,0.343629085
01/04/2016 16:00,0.344579561,0.344579561
01/04/2016 17:00,0.345530038,0.345530038
01/04/2016 18:00,0.346480514,0.346480514
01/04/2016 19:00,0.347430991,0.347430991
01/04/2016 20:00,0.348381467,0.348381467
01/04/2016 21:00,0.349331944,0.349331944
01/04/2016 22:00,0.35028242,0.35028242
01/04/2016 23:00,0.351232897,0.351232897
01/05/2016 00:00,0.352183373,0.352183373
01/05/2016 01:00,0.353460743,0.353460743
01/05/2016 02:00,0.354738114,0.354738114
01/05/2016 03:00,0.356015484,0.356015484
01/05/2016 04:00,0.357292854,0.357292854
01/05/2016 05:00,0.358570224,0.358570224
01/05/2016 06:00,0.359847595,0.359847595
01/05/2016 07:00,0.361124965,0.361124965
01/05/2016 08:00,0.362402335,0.362402335
01/05/2016 09:00,0.363679705,0.363679705
01/05/2016 10:00,0.364957076,0.364957076
01/05/2016 11:00,0.366234446,0.366234446
01/05/2016 12:00,0.367511816,0.367511816
01/05/2016 13:00,0.368789186,0.368789186
01/05/2016 14:00,0.370066556,0.370066556
01/05/2016 15:00,0.371343927,0.371343927
01/05/2016 16:00,0.372621297,0.372621297
01/05/2016 17:00,0.373898667,0.373898667
01/05/2016 18:00,0.375176037,0.375176037
01/05/2016 19:00,0.376453408,0.376453408
01/05/2016 20:00,0.377730778,0.377730778
01/05/2016 21:00,0.379008148,0.379008148
01/05/2016 22:00,0.380285518,0.380285518
01/05/2016 23:00,0.381562888,0.381562888
01/06/2016 00:00,0.382840259,0.382840259
01/06/2016 01:00,0.383964795,0.383964795
01/06/2016 02:00,0.385089332,0.385089332
01/06/2016 03:00,0.386213869,0.386213869
01/06/2016 04:00,0.387338406,0.387338406
01/06/2016 05:00,0.388462943,0.388462943
01/06/2016 06:00,0.389587479,0.389587479
01/06/2016 07:00,0.390712016,0.390712016
01/06/2016 08:00,0.391836553,0.391836553
01/06/2016 09:00,0.39296109,0.39296109
01/06/2016 10:00,0.394085627,0.394085627
01/06/2016 11:00,0.395210163,0.395210163
01/06/2016 12:00,0.3963347,0.3963347
01/06/2016 13:00,0.397459237,0.397459237
01/06/2016 14:00,0.398583774,0.398583774
01/06/2016 15:00,0.39970831,0.39970831
01/06/2016 16:00,0.400832847,0.400832847
01/06/2016 17:00,0.401957384,0.401957384
01/06/2016 18:00,0.403081921,0.403081921
01/06/2016 19:00,0.404206458,0.404206458
01/06/2016 20:00,0.405330994,0.405330994
01/06/2016 21:00,0.406455531,0.406455531
01/06/2016 22:00,0.407580068,0.407580068
01/06/2016 23:00,0.408704605,0.408704605
01/07/2016 00:00,0.409829141,0.409829141
01/07/2016 01:00,0.41063277,0.41063277
01/07/2016 02:00,0.411436398,0.411436398
