,HDAM,HPHS
01/01/2016 00:00,0.167767077,0.167767077
01/01/2016 01:00,0.167935378,0.167935378
01/01/2016 02:00,0.168103678,0.168103678
01/01/2016 03:00,0.168271979,0.168271979
01/01/2016 04:00,0.16844028,0.16844028
01/01/2016 05:00,0.16860858,0.16860858
01/01/2016 06:00,0.168776881,0.168776881
01/01/2016 07:00,0.168945181,0.168945181
01/01/2016 08:00,0.169113482,0.169113482
01/01/2016 09:00,0.169281782,0.169281782
01/01/2016 10:00,0.169450083,0.169450083
01/01/2016 11:00,0.169618384,0.169618384
01/01/2016 12:00,0.169786684,0.169786684
01/01/2016 13:00,0.169954985,0.169954985
01/01/2016 14:00,0.170123285,0.170123285
01/01/2016 15:00,0.170291586,0.170291586
01/01/2016 16:00,0.170459886,0.170459886
01/01/2016 17:00,0.170628187,0.170628187
01/01/2016 18:00,0.170796488,0.170796488
01/01/2016 19:00,0.170964788,0.170964788
01/01/2016 20:00,0.171133089,0.171133089
01/01/2016 21:00,0.171301389,0.171301389
01/01/2016 22:00,0.17146969,0.17146969
01/01/2016 23:00,0.17163799,0.17163799
01/02/2016 00:00,0.171806291,0.171806291
01/02/2016 01:00,0.172122431,0.172122431
01/02/2016 02:00,0.17243857,0.17243857
01/02/2016 03:00,0.17275471,0.17275471
01/02/2016 04:00,0.173070849,0.173070849
01/02/2016 05:00,0.173386989,0.173386989
01/02/2016 06:00,0.173703128,0.173703128
01/02/2016 07:00,0.174019268,0.174019268
01/02/2016 08:00,0.174335408,0.174335408
01/02/2016 09:00,0.174651547,0.174651547
01/02/2016 10:00,0.174967687,0.174967687
01/02/2016 11:00,0.175283826,0.175283826
01/02/2016 12:00,0.175599966,0.175599966
01/02/2016 13:00,0.175916106,0.175916106
01/02/2016 14:00,0.176232245,0.176232245
01/02/2016 15:00,0.176548385,0.176548385
01/02/2016 16:00,0.176864524,0.176864524
01/02/2016 17:00,0.177180664,0.177180664
01/02/2016 18:00,0.177496803,0.177496803
01/02/2016 19:00,0.177812943,0.177812943
01/02/2016 20:00,0.178129083,0.178129083
01/02/2016 21:00,0.178445222,0.178445222
01/02/2016 22:00,0.178761362,0.178761362
01/02/2016 23:00,0.179077501,0.179077501
01/03/2016 00:00,0.179393641,0.179393641
01/03/2016 01:00,0.179748828,0.179748828
01/03/2016 02:00,0.180104015,0.180104015
01/03/2016 03:00,0.180459201,0.180459201
01/03/2016 04:00,0.180814388,0.180814388
01/03/2016 05:00,0.181169575,0.181169575
01/03/2016 06:00,0.181524762,0.181524762
01/03/2016 07:00,0.181879948,0.181879948
01/03/2016 08:00,0.182235135,0.182235135
01/03/2016 09:00,0.182590322,0.182590322
01/03/2016 10:00,0.182945509,0.182945509
01/03/2016 11:00,0.183300696,0.183300696
01/03/2016 12:00,0.183655882,0.183655882
01/03/2016 13:00,0.184011069,0.184011069
01/03/2016 14:00,0.184366256,0.184366256
01/03/2016 15:00,0.184721443,0.184721443
01/03/2016 16:00,0.185076629,0.185076629
01/03/2016 17:00,0.185431816,0.185431816
01/03/2016 18:00,0.185787003,0.185787003
01/03/2016 19:00,0.18614219,0.18614219
01/03/2016 20:00,0.186497377,0.186497377
01/03/2016 21:00,0.186852563,0.186852563
01/03/2016 22:00,0.18720775,0.18720775
01/03/2016 23:00,0.187562937,0.187562937
01/04/2016 00:00,0.187918124,0.187918124
01/04/2016 01:00,0.188389249,0.188389249
01/04/2016 02:00,0.188860374,0.188860374
01/04/2016 03:00,0.1893315,0.1893315
01/04/2016 04:00,0.189802625,0.189802625
01/04/2016 05:00,0.190273751,0.190273751
01/04/2016 06:00,0.190744876,0.190744876
01/04/2016 07:00,0.191216001,0.191216001
01/04/2016 08:00,0.191687127,0.191687127
01/04/2016 09:00,0.192158252,0.192158252
01/04/2016 10:00,0.192629377,0.192629377
01/04/2016 11:00,0.193100503,0.193100503
01/04/2016 12:00,0.193571628,0.193571628
01/04/2016 13:00,0.194042753,0.194042753
01/04/2016 14:00,0.194513879,0.194513879
01/04/2016 15:00,0.194985004,0.194985004
01/04/2016 16:00,0.19545613,0.19545613
01/04/2016 17:00,0.195927255,0.195927255
01/04/2016 18:00,0.19639838,0.19639838
01/04/2016 19:00,0.196869506,0.196869506
01/04/2016 20:00,0.197340631,0.197340631
01/04/2016 21:00,0.197811756,0.197811756
01/04/2016 22:00,0.198282882,0.198282882
01/04/2016 23:00,0.198754007,0.198754007
01/05/2016 00:00,0.199225132,0.199225132
01/05/2016 01:00,0.199977683,0.199977683
01/05/2016 02:00,0.200730234,0.200730234
01/05/2016 03:00,0.201482784,0.201482784
01/05/2016 04:00,0.202235335,0.202235335
01/05/2016 05:00,0.202987886,0.202987886
01/05/2016 06:00,0.203740436,0.203740436
01/05/2016 07:00,0.204492987,0.204492987
01/05/2016 08:00,0.205245538,0.205245538
01/05/2016 09:00,0.205998088,0.205998088
01/05/2016 10:00,0.206750639,0.206750639
01/05/2016 11:00,0.20750319,0.20750319
01/05/2016 12:00,0.20825574,0.20825574
01/05/2016 13:00,0.209008291,0.209008291
01/05/2016 14:00,0.209760842,0.209760842
01/05/2016 15:00,0.210513392,0.210513392
01/05/2016 16:00,0.211265943,0.211265943
01/05/2016 17:00,0.212018494,0.212018494
01/05/2016 18:00,0.212771044,0.212771044
01/05/2016 19:00,0.213523595,0.213523595
01/05/2016 20:00,0.214276146,0.214276146
01/05/2016 21:00,0.215028696,0.215028696
01/05/2016 22:00,0.215781247,0.215781247
01/05/2016 23:00,0.216533798,0.216533798
01/06/2016 00:00,0.217286348,0.217286348
01/06/2016 01:00,0.217903172,0.217903172
01/06/2016 02:00,0.218519995,0.218519995
01/06/2016 03:00,0.219136818,0.219136818
01/06/2016 04:00,0.219753642,0.219753642
01/06/2016 05:00,0.220370465,0.220370465
01/06/2016 06:00,0.220987289,0.220987289
01/06/2016 07:00,0.221604112,0.221604112
01/06/2016 08:00,0.222220936,0.222220936
01/06/2016 09:00,0.222837759,0.222837759
01/06/2016 10:00,0.223454582,0.223454582
01/06/2016 11:00,0.224071406,0.224071406
01/06/2016 12:00,0.224688229,0.224688229
01/06/2016 13:00,0.225305053,0.225305053
01/06/2016 14:00,0.225921876,0.225921876
01/06/2016 15:00,0.226538699,0.226538699
01/06/2016 16:00,0.227155523,0.227155523
01/06/2016 17:00,0.227772346,0.227772346
01/06/2016 18:00,0.22838917,0.22838917
01/06/2016 19:00,0.229005993,0.229005993
01/06/2016 20:00,0.229622816,0.229622816
01/06/2016 21:00,0.23023964,0.23023964
01/06/2016 22:00,0.230856463,0.230856463
01/06/2016 23:00,0.231473287,0.231473287
01/07/2016 00:00,0.23209011,0.23209011
01/07/2016 01:00,0.232316411,0.232316411
01/07/2016 02:00,0.232542711,0.232542711
