,HDAM,HPHS
01/01/2016 00:00,0.258926749,0.258926749
01/01/2016 01:00,0.259543153,0.259543153
01/01/2016 02:00,0.260159558,0.260159558
01/01/2016 03:00,0.260775962,0.260775962
01/01/2016 04:00,0.261392367,0.261392367
01/01/2016 05:00,0.262008771,0.262008771
01/01/2016 06:00,0.262625176,0.262625176
01/01/2016 07:00,0.26324158,0.26324158
01/01/2016 08:00,0.263857984,0.263857984
01/01/2016 09:00,0.264474389,0.264474389
01/01/2016 10:00,0.265090793,0.265090793
01/01/2016 11:00,0.265707198,0.265707198
01/01/2016 12:00,0.266323602,0.266323602
01/01/2016 13:00,0.266940007,0.266940007
01/01/2016 14:00,0.267556411,0.267556411
01/01/2016 15:00,0.268172816,0.268172816
01/01/2016 16:00,0.26878922,0.26878922
01/01/2016 17:00,0.269405625,0.269405625
01/01/2016 18:00,0.270022029,0.270022029
01/01/2016 19:00,0.270638433,0.270638433
01/01/2016 20:00,0.271254838,0.271254838
01/01/2016 21:00,0.271871242,0.271871242
01/01/2016 22:00,0.272487647,0.272487647
01/01/2016 23:00,0.273104051,0.273104051
01/02/2016 00:00,0.273720456,0.273720456
01/02/2016 01:00,0.274495034,0.274495034
01/02/2016 02:00,0.275269612,0.275269612
01/02/2016 03:00,0.27604419,0.27604419
01/02/2016 04:00,0.276818769,0.276818769
01/02/2016 05:00,0.277593347,0.277593347
01/02/2016 06:00,0.278367925,0.278367925
01/02/2016 07:00,0.279142503,0.279142503
01/02/2016 08:00,0.279917081,0.279917081
01/02/2016 09:00,0.28069166,0.28069166
01/02/2016 10:00,0.281466238,0.281466238
01/02/2016 11:00,0.282240816,0.282240816
01/02/2016 12:00,0.283015394,0.283015394
01/02/2016 13:00,0.283789973,0.283789973
01/02/2016 14:00,0.284564551,0.284564551
01/02/2016 15:00,0.285339129,0.285339129
01/02/2016 16:00,0.286113707,0.286113707
01/02/2016 17:00,0.286888285,0.286888285
01/02/2016 18:00,0.287662864,0.287662864
01/02/2016 19:00,0.288437442,0.288437442
01/02/2016 20:00,0.28921202,0.28921202
01/02/2016 21:00,0.289986598,0.289986598
01/02/2016 22:00,0.290761176,0.290761176
01/02/2016 23:00,0.291535755,0.291535755
01/03/2016 00:00,0.292310333,0.292310333
01/03/2016 01:00,0.293135986,0.293135986
01/03/2016 02:00,0.293961639,0.293961639
01/03/2016 03:00,0.294787292,0.294787292
01/03/2016 04:00,0.295612945,0.295612945
01/03/2016 05:00,0.296438597,0.296438597
01/03/2016 06:00,0.29726425,0.29726425
01/03/2016 07:00,0.298089903,0.298089903
01/03/2016 08:00,0.298915556,0.298915556
01/03/2016 09:00,0.299741209,0.299741209
01/03/2016 10:00,0.300566862,0.300566862
01/03/2016 11:00,0.301392515,0.301392515
01/03/2016 12:00,0.302218168,0.302218168
01/03/2016 13:00,0.303043821,0.303043821
01/03/2016 14:00,0.303869473,0.303869473
01/03/2016 15:00,0.304695126,0.304695126
01/03/2016 16:00,0.305520779,0.305520779
01/03/2016 17:00,0.306346432,0.306346432
01/03/2016 18:00,0.307172085,0.307172085
01/03/2016 19:00,0.307997738,0.307997738
01/03/2016 20:00,0.308823391,0.308823391
01/03/2016 21:00,0.309649044,0.309649044
01/03/2016 22:00,0.310474697,0.310474697
01/03/2016 23:00,0.311300349,0.311300349
01/04/2016 00:00,0.312126002,0.312126002
01/04/2016 01:00,0.312942844,0.312942844
01/04/2016 02:00,0.313759685,0.313759685
01/04/2016 03:00,0.314576526,0.314576526
01/04/2016 04:00,0.315393368,0.315393368
01/04/2016 05:00,0.316210209,0.316210209
01/04/2016 06:00,0.31702705,0.31702705
01/04/2016 07:00,0.317843891,0.317843891
01/04/2016 08:00,0.318660733,0.318660733
01/04/2016 09:00,0.319477574,0.319477574
01/04/2016 10:00,0.320294415,0.320294415
01/04/2016 11:00,0.321111257,0.321111257
01/04/2016 12:00,0.321928098,0.321928098
01/04/2016 13:00,0.322744939,0.322744939
01/04/2016 14:00,0.32356178,0.32356178
01/04/2016 15:00,0.324378622,0.324378622
01/04/2016 16:00,0.325195463,0.325195463
01/04/2016 17:00,0.326012304,0.326012304
01/04/2016 18:00,0.326829146,0.326829146
01/04/2016 19:00,0.327645987,0.327645987
01/04/2016 20:00,0.328462828,0.328462828
01/04/2016 21:00,0.329279669,0.329279669
01/04/2016 22:00,0.330096511,0.330096511
01/04/2016 23:00,0.330913352,0.330913352
01/05/2016 00:00,0.331730193,0.331730193
01/05/2016 01:00,0.332731181,0.332731181
01/05/2016 02:00,0.333732168,0.333732168
01/05/2016 03:00,0.334733156,0.334733156
01/05/2016 04:00,0.335734143,0.335734143
01/05/2016 05:00,0.336735131,0.336735131
01/05/2016 06:00,0.337736118,0.337736118
01/05/2016 07:00,0.338737106,0.338737106
01/05/2016 08:00,0.339738093,0.339738093
01/05/2016 09:00,0.340739081,0.340739081
01/05/2016 10:00,0.341740069,0.341740069
01/05/2016 11:00,0.342741056,0.342741056
01/05/2016 12:00,0.343742044,0.343742044
01/05/2016 13:00,0.344743031,0.344743031
01/05/2016 14:00,0.345744019,0.345744019
01/05/2016 15:00,0.346745006,0.346745006
01/05/2016 16:00,0.347745994,0.347745994
01/05/2016 17:00,0.348746981,0.348746981
01/05/2016 18:00,0.349747969,0.349747969
01/05/2016 19:00,0.350748956,0.350748956
01/05/2016 20:00,0.351749944,0.351749944
01/05/2016 21:00,0.352750931,0.352750931
01/05/2016 22:00,0.353751919,0.353751919
01/05/2016 23:00,0.354752906,0.354752906
01/06/2016 00:00,0.355753894,0.355753894
01/06/2016 01:00,0.356731438,0.356731438
01/06/2016 02:00,0.357708983,0.357708983
01/06/2016 03:00,0.358686527,0.358686527
01/06/2016 04:00,0.359664071,0.359664071
01/06/2016 05:00,0.360641615,0.360641615
01/06/2016 06:00,0.36161916,0.36161916
01/06/2016 07:00,0.362596704,0.362596704
01/06/2016 08:00,0.363574248,0.363574248
01/06/2016 09:00,0.364551793,0.364551793
01/06/2016 10:00,0.365529337,0.365529337
01/06/2016 11:00,0.366506881,0.366506881
01/06/2016 12:00,0.367484426,0.367484426
01/06/2016 13:00,0.36846197,0.36846197
01/06/2016 14:00,0.369439514,0.369439514
01/06/2016 15:00,0.370417059,0.370417059
01/06/2016 16:00,0.371394603,0.371394603
01/06/2016 17:00,0.372372147,0.372372147
01/06/2016 18:00,0.373349691,0.373349691
01/06/2016 19:00,0.374327236,0.374327236
01/06/2016 20:00,0.37530478,0.37530478
01/06/2016 21:00,0.376282324,0.376282324
01/06/2016 22:00,0.377259869,0.377259869
01/06/2016 23:00,0.378237413,0.378237413
01/07/2016 00:00,0.379214957,0.379214957
01/07/2016 01:00,0.379992989,0.379992989
01/07/2016 02:00,0.380771022,0.380771022
01/07/2016 03:00,0.381549054,0.381549054
01/07/2016 04:00,0.382327086,0.382327086
01/07/2016 05:00,0.383105118,0.383105118
01/07/2016 06:00,0.38388315,0.38388315
01/07/2016 07:00,0.384661182,0.384661182
01/07/2016 08:00,0.385439214,0.385439214
01/07/2016 09:00,0.386217247,0.386217247
01/07/2016 10:00,0.386995279,0.386995279
01/07/2016 11:00,0.387773311,0.387773311
01/07/2016 12:00,0.388551343,0.388551343
01/07/2016 13:00,0.389329375,0.389329375
01/07/2016 14:00,0.390107407,0.390107407
01/07/2016 15:00,0.390885439,0.390885439
01/07/2016 16:00,0.391663472,0.391663472
01/07/2016 17:00,0.392441504,0.392441504
01/07/2016 18:00,0.393219536,0.393219536
01/07/2016 19:00,0.393997568,0.393997568
01/07/2016 20:00,0.3947756,0.3947756
01/07/2016 21:00,0.395553632,0.395553632
01/07/2016 22:00,0.396331665,0.396331665
01/07/2016 23:00,0.397109697,0.397109697
01/08/2016 00:00,0.397887729,0.397887729
01/08/2016 01:00,0.398604977,0.398604977
01/08/2016 02:00,0.399322226,0.399322226
01/08/2016 03:00,0.400039474,0.400039474
01/08/2016 04:00,0.400756722,0.400756722
01/08/2016 05:00,0.401473971,0.401473971
01/08/2016 06:00,0.402191219,0.402191219
01/08/2016 07:00,0.402908468,0.402908468
01/08/2016 08:00,0.403625716,0.403625716
01/08/2016 09:00,0.404342964,0.404342964
01/08/2016 10:00,0.405060213,0.405060213
01/08/2016 11:00,0.405777461,0.405777461
01/08/2016 12:00,0.406494709,0.406494709
01/08/2016 13:00,0.407211958,0.407211958
01/08/2016 14:00,0.407929206,0.407929206
01/08/2016 15:00,0.408646455,0.408646455
01/08/2016 16:00,0.409363703,0.409363703
01/08/2016 17:00,0.410080951,0.410080951
01/08/2016 18:00,0.4107982,0.4107982
01/08/2016 19:00,0.411515448,0.411515448
01/08/2016 20:00,0.412232697,0.412232697
01/08/2016 21:00,0.412949945,0.412949945
01/08/2016 22:00,0.413667193,0.413667193
01/08/2016 23:00,0.414384442,0.414384442
01/09/2016 00:00,0.41510169,0.41510169
01/09/2016 01:00,0.415853559,0.415853559
01/09/2016 02:00,0.416605429,0.416605429
01/09/2016 03:00,0.417357298,0.417357298
01/09/2016 04:00,0.418109167,0.418109167
01/09/2016 05:00,0.418861037,0.418861037
01/09/2016 06:00,0.419612906,0.419612906
01/09/2016 07:00,0.420364775,0.420364775
01/09/2016 08:00,0.421116644,0.421116644
01/09/2016 09:00,0.421868514,0.421868514
01/09/2016 10:00,0.422620383,0.422620383
01/09/2016 11:00,0.423372252,0.423372252
01/09/2016 12:00,0.424124122,0.424124122
01/09/2016 13:00,0.424875991,0.424875991
01/09/2016 14:00,0.42562786,0.42562786
01/09/2016 15:00,0.426379729,0.426379729
01/09/2016 16:00,0.427131599,0.427131599
01/09/2016 17:00,0.427883468,0.427883468
01/09/2016 18:00,0.428635337,0.428635337
01/09/2016 19:00,0.429387207,0.429387207
01/09/2016 20:00,0.430139076,0.430139076
01/09/2016 21:00,0.430890945,0.430890945
01/09/2016 22:00,0.431642815,0.431642815
01/09/2016 23:00,0.432394684,0.432394684
01/10/2016 00:00,0.433146553,0.433146553
01/10/2016 01:00,0.433984064,0.433984064
01/10/2016 02:00,0.434821574,0.434821574
01/10/2016 03:00,0.435659085,0.435659085
01/10/2016 04:00,0.436496595,0.436496595
01/10/2016 05:00,0.437334106,0.437334106
01/10/2016 06:00,0.438171616,0.438171616
01/10/2016 07:00,0.439009127,0.439009127
01/10/2016 08:00,0.439846637,0.439846637
01/10/2016 09:00,0.440684147,0.440684147
01/10/2016 10:00,0.441521658,0.441521658
01/10/2016 11:00,0.442359168,0.442359168
01/10/2016 12:00,0.443196679,0.443196679
01/10/2016 13:00,0.444034189,0.444034189
01/10/2016 14:00,0.4448717,0.4448717
01/10/2016 15:00,0.44570921,0.44570921
01/10/2016 16:00,0.446546721,0.446546721
01/10/2016 17:00,0.447384231,0.447384231
01/10/2016 18:00,0.448221742,0.448221742
01/10/2016 19:00,0.449059252,0.449059252
