,HDAM,HPHS
01/01/2016 00:00,0.095364055,0.095364055
01/01/2016 01:00,0.095549073,0.095549073
01/01/2016 02:00,0.095734092,0.095734092
01/01/2016 03:00,0.09591911,0.09591911
01/01/2016 04:00,0.096104128,0.096104128
01/01/2016 05:00,0.096289146,0.096289146
01/01/2016 06:00,0.096474164,0.096474164
01/01/2016 07:00,0.096659183,0.096659183
01/01/2016 08:00,0.096844201,0.096844201
01/01/2016 09:00,0.097029219,0.097029219
01/01/2016 10:00,0.097214237,0.097214237
01/01/2016 11:00,0.097399255,0.097399255
01/01/2016 12:00,0.097584274,0.097584274
01/01/2016 13:00,0.097769292,0.097769292
01/01/2016 14:00,0.09795431,0.09795431
01/01/2016 15:00,0.098139328,0.098139328
01/01/2016 16:00,0.098324346,0.098324346
01/01/2016 17:00,0.098509364,0.098509364
01/01/2016 18:00,0.098694383,0.098694383
01/01/2016 19:00,0.098879401,0.098879401
01/01/2016 20:00,0.099064419,0.099064419
01/01/2016 21:00,0.099249437,0.099249437
01/01/2016 22:00,0.099434455,0.099434455
01/01/2016 23:00,0.099619474,0.099619474
01/02/2016 00:00,0.099804492,0.099804492
01/02/2016 01:00,0.099979653,0.099979653
01/02/2016 02:00,0.100154815,0.100154815
01/02/2016 03:00,0.100329976,0.100329976
01/02/2016 04:00,0.100505137,0.100505137
01/02/2016 05:00,0.100680299,0.100680299
01/02/2016 06:00,0.10085546,0.10085546
01/02/2016 07:00,0.101030622,0.101030622
01/02/2016 08:00,0.101205783,0.101205783
01/02/2016 09:00,0.101380944,0.101380944
01/02/2016 10:00,0.101556106,0.101556106
01/02/2016 11:00,0.101731267,0.101731267
01/02/2016 12:00,0.101906429,0.101906429
01/02/2016 13:00,0.10208159,0.10208159
01/02/2016 14:00,0.102256752,0.102256752
01/02/2016 15:00,0.102431913,0.102431913
01/02/2016 16:00,0.102607074,0.102607074
01/02/2016 17:00,0.102782236,0.102782236
01/02/2016 18:00,0.102957397,0.102957397
01/02/2016 19:00,0.103132559,0.103132559
01/02/2016 20:00,0.10330772,0.10330772
01/02/2016 21:00,0.103482881,0.103482881
01/02/2016 22:00,0.103658043,0.103658043
01/02/2016 23:00,0.103833204,0.103833204
01/03/2016 00:00,0.104008366,0.104008366
01/03/2016 01:00,0.104184749,0.104184749
01/03/2016 02:00,0.104361132,0.104361132
01/03/2016 03:00,0.104537516,0.104537516
01/03/2016 04:00,0.104713899,0.104713899
01/03/2016 05:00,0.104890282,0.104890282
01/03/2016 06:00,0.105066666,0.105066666
01/03/2016 07:00,0.105243049,0.105243049
01/03/2016 08:00,0.105419432,0.105419432
01/03/2016 09:00,0.105595816,0.105595816
01/03/2016 10:00,0.105772199,0.105772199
01/03/2016 11:00,0.105948582,0.105948582
01/03/2016 12:00,0.106124966,0.106124966
01/03/2016 13:00,0.106301349,0.106301349
01/03/2016 14:00,0.106477732,0.106477732
01/03/2016 15:00,0.106654116,0.106654116
01/03/2016 16:00,0.106830499,0.106830499
01/03/2016 17:00,0.107006882,0.107006882
01/03/2016 18:00,0.107183266,0.107183266
01/03/2016 19:00,0.107359649,0.107359649
01/03/2016 20:00,0.107536032,0.107536032
01/03/2016 21:00,0.107712415,0.107712415
01/03/2016 22:00,0.107888799,0.107888799
01/03/2016 23:00,0.108065182,0.108065182
01/04/2016 00:00,0.108241565,0.108241565
01/04/2016 01:00,0.108449413,0.108449413
01/04/2016 02:00,0.108657261,0.108657261
01/04/2016 03:00,0.108865108,0.108865108
01/04/2016 04:00,0.109072956,0.109072956
01/04/2016 05:00,0.109280804,0.109280804
01/04/2016 06:00,0.109488651,0.109488651
01/04/2016 07:00,0.109696499,0.109696499
01/04/2016 08:00,0.109904346,0.109904346
01/04/2016 09:00,0.110112194,0.110112194
01/04/2016 10:00,0.110320042,0.110320042
01/04/2016 11:00,0.110527889,0.110527889
01/04/2016 12:00,0.110735737,0.110735737
01/04/2016 13:00,0.110943584,0.110943584
01/04/2016 14:00,0.111151432,0.111151432
01/04/2016 15:00,0.11135928,0.11135928
01/04/2016 16:00,0.111567127,0.111567127
01/04/2016 17:00,0.111774975,0.111774975
01/04/2016 18:00,0.111982823,0.111982823
01/04/2016 19:00,0.11219067,0.11219067
01/04/2016 20:00,0.112398518,0.112398518
01/04/2016 21:00,0.112606365,0.112606365
01/04/2016 22:00,0.112814213,0.112814213
01/04/2016 23:00,0.113022061,0.113022061
01/05/2016 00:00,0.113229908,0.113229908
01/05/2016 01:00,0.113415863,0.113415863
01/05/2016 02:00,0.113601818,0.113601818
01/05/2016 03:00,0.113787773,0.113787773
01/05/2016 04:00,0.113973728,0.113973728
01/05/2016 05:00,0.114159683,0.114159683
01/05/2016 06:00,0.114345638,0.114345638
01/05/2016 07:00,0.114531593,0.114531593
01/05/2016 08:00,0.114717548,0.114717548
01/05/2016 09:00,0.114903503,0.114903503
