,HDAM,HPHS
01/01/2016 00:00,0.400492939,0.400492939
01/01/2016 01:00,0.400457936,0.400457936
01/01/2016 02:00,0.400422933,0.400422933
01/01/2016 03:00,0.40038793,0.40038793
01/01/2016 04:00,0.400352927,0.400352927
01/01/2016 05:00,0.400317923,0.400317923
01/01/2016 06:00,0.40028292,0.40028292
01/01/2016 07:00,0.400247917,0.400247917
01/01/2016 08:00,0.400212914,0.400212914
01/01/2016 09:00,0.400177911,0.400177911
01/01/2016 10:00,0.400142908,0.400142908
01/01/2016 11:00,0.400107903,0.400107903
01/01/2016 12:00,0.4000729,0.4000729
01/01/2016 13:00,0.400037897,0.400037897
01/01/2016 14:00,0.400002894,0.400002894
01/01/2016 15:00,0.39996789,0.39996789
01/01/2016 16:00,0.399932887,0.399932887
01/01/2016 17:00,0.399897884,0.399897884
01/01/2016 18:00,0.399862881,0.399862881
01/01/2016 19:00,0.399827878,0.399827878
01/01/2016 20:00,0.399792875,0.399792875
01/01/2016 21:00,0.399757871,0.399757871
01/01/2016 22:00,0.399722868,0.399722868
01/01/2016 23:00,0.399687865,0.399687865
01/02/2016 00:00,0.399652862,0.399652862
01/02/2016 01:00,0.399729715,0.399729715
01/02/2016 02:00,0.399806569,0.399806569
01/02/2016 03:00,0.399883422,0.399883422
01/02/2016 04:00,0.399960276,0.399960276
01/02/2016 05:00,0.400037128,0.400037128
01/02/2016 06:00,0.400113981,0.400113981
01/02/2016 07:00,0.400190834,0.400190834
01/02/2016 08:00,0.400267688,0.400267688
01/02/2016 09:00,0.400344541,0.400344541
01/02/2016 10:00,0.400421395,0.400421395
01/02/2016 11:00,0.400498248,0.400498248
01/02/2016 12:00,0.400575101,0.400575101
01/02/2016 13:00,0.400651955,0.400651955
01/02/2016 14:00,0.400728808,0.400728808
01/02/2016 15:00,0.400805662,0.400805662
01/02/2016 16:00,0.400882515,0.400882515
01/02/2016 17:00,0.400959369,0.400959369
01/02/2016 18:00,0.401036222,0.401036222
01/02/2016 19:00,0.401113075,0.401113075
01/02/2016 20:00,0.401189929,0.401189929
01/02/2016 21:00,0.401266782,0.401266782
01/02/2016 22:00,0.401343636,0.401343636
01/02/2016 23:00,0.401420489,0.401420489
01/03/2016 00:00,0.401497341,0.401497341
01/03/2016 01:00,0.401577527,0.401577527
01/03/2016 02:00,0.401657712,0.401657712
01/03/2016 03:00,0.401737898,0.401737898
01/03/2016 04:00,0.401818083,0.401818083
01/03/2016 05:00,0.401898267,0.401898267
01/03/2016 06:00,0.401978453,0.401978453
01/03/2016 07:00,0.402058639,0.402058639
01/03/2016 08:00,0.402138824,0.402138824
01/03/2016 09:00,0.402219008,0.402219008
