,HDAM,HPHS
01/01/2016 00:00,0.450868663,0.450868663
01/01/2016 01:00,0.450837458,0.450837458
01/01/2016 02:00,0.450806252,0.450806252
01/01/2016 03:00,0.450775047,0.450775047
01/01/2016 04:00,0.450743841,0.450743841
01/01/2016 05:00,0.450712636,0.450712636
01/01/2016 06:00,0.45068143,0.45068143
01/01/2016 07:00,0.450650225,0.450650225
01/01/2016 08:00,0.45061902,0.45061902
01/01/2016 09:00,0.450587814,0.450587814
01/01/2016 10:00,0.450556609,0.450556609
01/01/2016 11:00,0.450525403,0.450525403
01/01/2016 12:00,0.450494198,0.450494198
01/01/2016 13:00,0.450462992,0.450462992
01/01/2016 14:00,0.450431787,0.450431787
01/01/2016 15:00,0.450400582,0.450400582
01/01/2016 16:00,0.450369376,0.450369376
01/01/2016 17:00,0.450338171,0.450338171
01/01/2016 18:00,0.450306965,0.450306965
01/01/2016 19:00,0.45027576,0.45027576
01/01/2016 20:00,0.450244554,0.450244554
01/01/2016 21:00,0.450213349,0.450213349
01/01/2016 22:00,0.450182144,0.450182144
01/01/2016 23:00,0.450150938,0.450150938
01/02/2016 00:00,0.450119733,0.450119733
01/02/2016 01:00,0.450003353,0.450003353
01/02/2016 02:00,0.449886974,0.449886974
01/02/2016 03:00,0.449770595,0.449770595
01/02/2016 04:00,0.449654215,0.449654215
01/02/2016 05:00,0.449537836,0.449537836
01/02/2016 06:00,0.449421456,0.449421456
01/02/2016 07:00,0.449305077,0.449305077
01/02/2016 08:00,0.449188697,0.449188697
01/02/2016 09:00,0.449072318,0.449072318
01/02/2016 10:00,0.448955939,0.448955939
01/02/2016 11:00,0.448839559,0.448839559
01/02/2016 12:00,0.44872318,0.44872318
01/02/2016 13:00,0.4486068,0.4486068
01/02/2016 14:00,0.448490421,0.448490421
01/02/2016 15:00,0.448374041,0.448374041
01/02/2016 16:00,0.448257662,0.448257662
01/02/2016 17:00,0.448141283,0.448141283
01/02/2016 18:00,0.448024903,0.448024903
01/02/2016 19:00,0.447908524,0.447908524
01/02/2016 20:00,0.447792144,0.447792144
01/02/2016 21:00,0.447675765,0.447675765
01/02/2016 22:00,0.447559385,0.447559385
01/02/2016 23:00,0.447443006,0.447443006
01/03/2016 00:00,0.447326627,0.447326627
01/03/2016 01:00,0.447182401,0.447182401
01/03/2016 02:00,0.447038175,0.447038175
01/03/2016 03:00,0.44689395,0.44689395
01/03/2016 04:00,0.446749724,0.446749724
01/03/2016 05:00,0.446605498,0.446605498
01/03/2016 06:00,0.446461273,0.446461273
01/03/2016 07:00,0.446317047,0.446317047
01/03/2016 08:00,0.446172822,0.446172822
01/03/2016 09:00,0.446028596,0.446028596
01/03/2016 10:00,0.44588437,0.44588437
01/03/2016 11:00,0.445740145,0.445740145
01/03/2016 12:00,0.445595919,0.445595919
01/03/2016 13:00,0.445451693,0.445451693
01/03/2016 14:00,0.445307468,0.445307468
01/03/2016 15:00,0.445163242,0.445163242
01/03/2016 16:00,0.445019017,0.445019017
01/03/2016 17:00,0.444874791,0.444874791
01/03/2016 18:00,0.444730565,0.444730565
01/03/2016 19:00,0.44458634,0.44458634
01/03/2016 20:00,0.444442114,0.444442114
01/03/2016 21:00,0.444297888,0.444297888
01/03/2016 22:00,0.444153663,0.444153663
01/03/2016 23:00,0.444009437,0.444009437
01/04/2016 00:00,0.443865212,0.443865212
01/04/2016 01:00,0.443753783,0.443753783
01/04/2016 02:00,0.443642354,0.443642354
01/04/2016 03:00,0.443530925,0.443530925
01/04/2016 04:00,0.443419496,0.443419496
01/04/2016 05:00,0.443308067,0.443308067
01/04/2016 06:00,0.443196638,0.443196638
01/04/2016 07:00,0.443085209,0.443085209
01/04/2016 08:00,0.44297378,0.44297378
01/04/2016 09:00,0.442862351,0.442862351
01/04/2016 10:00,0.442750922,0.442750922
01/04/2016 11:00,0.442639493,0.442639493
01/04/2016 12:00,0.442528064,0.442528064
01/04/2016 13:00,0.442416635,0.442416635
01/04/2016 14:00,0.442305206,0.442305206
01/04/2016 15:00,0.442193777,0.442193777
01/04/2016 16:00,0.442082348,0.442082348
01/04/2016 17:00,0.441970919,0.441970919
01/04/2016 18:00,0.44185949,0.44185949
01/04/2016 19:00,0.441748061,0.441748061
01/04/2016 20:00,0.441636632,0.441636632
01/04/2016 21:00,0.441525203,0.441525203
01/04/2016 22:00,0.441413774,0.441413774
01/04/2016 23:00,0.441302345,0.441302345
01/05/2016 00:00,0.441190916,0.441190916
01/05/2016 01:00,0.441158031,0.441158031
01/05/2016 02:00,0.441125146,0.441125146
01/05/2016 03:00,0.441092261,0.441092261
01/05/2016 04:00,0.441059376,0.441059376
01/05/2016 05:00,0.441026491,0.441026491
01/05/2016 06:00,0.440993606,0.440993606
01/05/2016 07:00,0.440960721,0.440960721
01/05/2016 08:00,0.440927835,0.440927835
01/05/2016 09:00,0.44089495,0.44089495
01/05/2016 10:00,0.440862065,0.440862065
01/05/2016 11:00,0.44082918,0.44082918
01/05/2016 12:00,0.440796295,0.440796295
01/05/2016 13:00,0.44076341,0.44076341
01/05/2016 14:00,0.440730525,0.440730525
01/05/2016 15:00,0.44069764,0.44069764
01/05/2016 16:00,0.440664755,0.440664755
01/05/2016 17:00,0.44063187,0.44063187
01/05/2016 18:00,0.440598985,0.440598985
01/05/2016 19:00,0.4405661,0.4405661
01/05/2016 20:00,0.440533215,0.440533215
01/05/2016 21:00,0.44050033,0.44050033
01/05/2016 22:00,0.440467445,0.440467445
