,HDAM,HPHS
01/01/2016 00:00,0.404927921,0.404927921
01/01/2016 01:00,0.405481239,0.405481239
01/01/2016 02:00,0.406034557,0.406034557
01/01/2016 03:00,0.406587874,0.406587874
01/01/2016 04:00,0.407141192,0.407141192
01/01/2016 05:00,0.40769451,0.40769451
01/01/2016 06:00,0.408247828,0.408247828
01/01/2016 07:00,0.408801145,0.408801145
01/01/2016 08:00,0.409354463,0.409354463
01/01/2016 09:00,0.409907781,0.409907781
01/01/2016 10:00,0.410461098,0.410461098
01/01/2016 11:00,0.411014416,0.411014416
01/01/2016 12:00,0.411567734,0.411567734
01/01/2016 13:00,0.412121051,0.412121051
01/01/2016 14:00,0.412674369,0.412674369
01/01/2016 15:00,0.413227687,0.413227687
01/01/2016 16:00,0.413781004,0.413781004
01/01/2016 17:00,0.414334322,0.414334322
01/01/2016 18:00,0.41488764,0.41488764
01/01/2016 19:00,0.415440958,0.415440958
01/01/2016 20:00,0.415994275,0.415994275
01/01/2016 21:00,0.416547593,0.416547593
01/01/2016 22:00,0.417100911,0.417100911
01/01/2016 23:00,0.417654228,0.417654228
01/02/2016 00:00,0.418207546,0.418207546
01/02/2016 01:00,0.418957927,0.418957927
01/02/2016 02:00,0.419708309,0.419708309
01/02/2016 03:00,0.42045869,0.42045869
01/02/2016 04:00,0.421209071,0.421209071
01/02/2016 05:00,0.421959452,0.421959452
01/02/2016 06:00,0.422709834,0.422709834
01/02/2016 07:00,0.423460215,0.423460215
01/02/2016 08:00,0.424210596,0.424210596
01/02/2016 09:00,0.424960977,0.424960977
01/02/2016 10:00,0.425711359,0.425711359
01/02/2016 11:00,0.42646174,0.42646174
01/02/2016 12:00,0.427212121,0.427212121
01/02/2016 13:00,0.427962503,0.427962503
01/02/2016 14:00,0.428712884,0.428712884
01/02/2016 15:00,0.429463265,0.429463265
01/02/2016 16:00,0.430213646,0.430213646
01/02/2016 17:00,0.430964028,0.430964028
01/02/2016 18:00,0.431714409,0.431714409
01/02/2016 19:00,0.43246479,0.43246479
01/02/2016 20:00,0.433215171,0.433215171
01/02/2016 21:00,0.433965553,0.433965553
01/02/2016 22:00,0.434715934,0.434715934
01/02/2016 23:00,0.435466315,0.435466315
01/03/2016 00:00,0.436216696,0.436216696
01/03/2016 01:00,0.436967834,0.436967834
01/03/2016 02:00,0.437718971,0.437718971
01/03/2016 03:00,0.438470109,0.438470109
01/03/2016 04:00,0.439221246,0.439221246
01/03/2016 05:00,0.439972383,0.439972383
01/03/2016 06:00,0.440723521,0.440723521
01/03/2016 07:00,0.441474658,0.441474658
01/03/2016 08:00,0.442225795,0.442225795
01/03/2016 09:00,0.442976933,0.442976933
01/03/2016 10:00,0.44372807,0.44372807
01/03/2016 11:00,0.444479207,0.444479207
01/03/2016 12:00,0.445230345,0.445230345
01/03/2016 13:00,0.445981482,0.445981482
01/03/2016 14:00,0.446732619,0.446732619
01/03/2016 15:00,0.447483757,0.447483757
01/03/2016 16:00,0.448234894,0.448234894
01/03/2016 17:00,0.448986032,0.448986032
01/03/2016 18:00,0.449737169,0.449737169
01/03/2016 19:00,0.450488306,0.450488306
01/03/2016 20:00,0.451239444,0.451239444
01/03/2016 21:00,0.451990581,0.451990581
01/03/2016 22:00,0.452741718,0.452741718
01/03/2016 23:00,0.453492856,0.453492856
01/04/2016 00:00,0.454243993,0.454243993
01/04/2016 01:00,0.455251306,0.455251306
01/04/2016 02:00,0.456258619,0.456258619
01/04/2016 03:00,0.457265932,0.457265932
01/04/2016 04:00,0.458273246,0.458273246
01/04/2016 05:00,0.459280559,0.459280559
01/04/2016 06:00,0.460287872,0.460287872
01/04/2016 07:00,0.461295185,0.461295185
01/04/2016 08:00,0.462302498,0.462302498
01/04/2016 09:00,0.463309811,0.463309811
01/04/2016 10:00,0.464317124,0.464317124
01/04/2016 11:00,0.465324438,0.465324438
01/04/2016 12:00,0.466331751,0.466331751
01/04/2016 13:00,0.467339064,0.467339064
01/04/2016 14:00,0.468346377,0.468346377
01/04/2016 15:00,0.46935369,0.46935369
01/04/2016 16:00,0.470361003,0.470361003
01/04/2016 17:00,0.471368316,0.471368316
01/04/2016 18:00,0.47237563,0.47237563
01/04/2016 19:00,0.473382943,0.473382943
