,HDAM,HPHS
01/01/2016 00:00,0.497504275,0.497504275
01/01/2016 01:00,0.49780349,0.49780349
01/01/2016 02:00,0.498102704,0.498102704
01/01/2016 03:00,0.498401919,0.498401919
01/01/2016 04:00,0.498701134,0.498701134
01/01/2016 05:00,0.499000348,0.499000348
01/01/2016 06:00,0.499299563,0.499299563
01/01/2016 07:00,0.499598778,0.499598778
01/01/2016 08:00,0.499897992,0.499897992
01/01/2016 09:00,0.500197207,0.500197207
01/01/2016 10:00,0.500496422,0.500496422
01/01/2016 11:00,0.500795636,0.500795636
01/01/2016 12:00,0.501094851,0.501094851
01/01/2016 13:00,0.501394066,0.501394066
01/01/2016 14:00,0.50169328,0.50169328
01/01/2016 15:00,0.501992495,0.501992495
01/01/2016 16:00,0.50229171,0.50229171
01/01/2016 17:00,0.502590925,0.502590925
01/01/2016 18:00,0.502890139,0.502890139
01/01/2016 19:00,0.503189354,0.503189354
01/01/2016 20:00,0.503488569,0.503488569
01/01/2016 21:00,0.503787783,0.503787783
01/01/2016 22:00,0.504086998,0.504086998
01/01/2016 23:00,0.504386213,0.504386213
01/02/2016 00:00,0.504685427,0.504685427
01/02/2016 01:00,0.505263462,0.505263462
01/02/2016 02:00,0.505841496,0.505841496
01/02/2016 03:00,0.506419531,0.506419531
01/02/2016 04:00,0.506997565,0.506997565
01/02/2016 05:00,0.5075756,0.5075756
01/02/2016 06:00,0.508153634,0.508153634
01/02/2016 07:00,0.508731669,0.508731669
01/02/2016 08:00,0.509309703,0.509309703
01/02/2016 09:00,0.509887738,0.509887738
01/02/2016 10:00,0.510465772,0.510465772
01/02/2016 11:00,0.511043807,0.511043807
01/02/2016 12:00,0.511621841,0.511621841
01/02/2016 13:00,0.512199876,0.512199876
01/02/2016 14:00,0.51277791,0.51277791
01/02/2016 15:00,0.513355945,0.513355945
01/02/2016 16:00,0.513933979,0.513933979
01/02/2016 17:00,0.514512014,0.514512014
01/02/2016 18:00,0.515090048,0.515090048
01/02/2016 19:00,0.515668083,0.515668083
01/02/2016 20:00,0.516246117,0.516246117
01/02/2016 21:00,0.516824152,0.516824152
01/02/2016 22:00,0.517402186,0.517402186
01/02/2016 23:00,0.517980221,0.517980221
01/03/2016 00:00,0.518558255,0.518558255
01/03/2016 01:00,0.519560813,0.519560813
01/03/2016 02:00,0.52056337,0.52056337
01/03/2016 03:00,0.521565928,0.521565928
01/03/2016 04:00,0.522568486,0.522568486
01/03/2016 05:00,0.523571043,0.523571043
01/03/2016 06:00,0.524573601,0.524573601
01/03/2016 07:00,0.525576159,0.525576159
01/03/2016 08:00,0.526578716,0.526578716
01/03/2016 09:00,0.527581274,0.527581274
01/03/2016 10:00,0.528583832,0.528583832
01/03/2016 11:00,0.529586389,0.529586389
01/03/2016 12:00,0.530588947,0.530588947
01/03/2016 13:00,0.531591505,0.531591505
01/03/2016 14:00,0.532594062,0.532594062
01/03/2016 15:00,0.53359662,0.53359662
01/03/2016 16:00,0.534599178,0.534599178
01/03/2016 17:00,0.535601735,0.535601735
01/03/2016 18:00,0.536604293,0.536604293
01/03/2016 19:00,0.537606851,0.537606851
01/03/2016 20:00,0.538609408,0.538609408
01/03/2016 21:00,0.539611966,0.539611966
01/03/2016 22:00,0.540614524,0.540614524
01/03/2016 23:00,0.541617081,0.541617081
