,HDAM,HPHS
01/01/2016 00:00,0.490211878,0.490211878
01/01/2016 01:00,0.490398718,0.490398718
01/01/2016 02:00,0.490585557,0.490585557
01/01/2016 03:00,0.490772396,0.490772396
01/01/2016 04:00,0.490959235,0.490959235
01/01/2016 05:00,0.491146075,0.491146075
01/01/2016 06:00,0.491332914,0.491332914
01/01/2016 07:00,0.491519753,0.491519753
01/01/2016 08:00,0.491706593,0.491706593
01/01/2016 09:00,0.491893432,0.491893432
01/01/2016 10:00,0.492080271,0.492080271
01/01/2016 11:00,0.49226711,0.49226711
01/01/2016 12:00,0.49245395,0.49245395
01/01/2016 13:00,0.492640789,0.492640789
01/01/2016 14:00,0.492827628,0.492827628
01/01/2016 15:00,0.493014468,0.493014468
01/01/2016 16:00,0.493201307,0.493201307
01/01/2016 17:00,0.493388146,0.493388146
01/01/2016 18:00,0.493574985,0.493574985
01/01/2016 19:00,0.493761825,0.493761825
01/01/2016 20:00,0.493948664,0.493948664
01/01/2016 21:00,0.494135503,0.494135503
01/01/2016 22:00,0.494322343,0.494322343
01/01/2016 23:00,0.494509182,0.494509182
01/02/2016 00:00,0.494696021,0.494696021
01/02/2016 01:00,0.495003261,0.495003261
01/02/2016 02:00,0.495310501,0.495310501
01/02/2016 03:00,0.495617741,0.495617741
01/02/2016 04:00,0.495924981,0.495924981
01/02/2016 05:00,0.496232221,0.496232221
01/02/2016 06:00,0.49653946,0.49653946
01/02/2016 07:00,0.4968467,0.4968467
01/02/2016 08:00,0.49715394,0.49715394
01/02/2016 09:00,0.49746118,0.49746118
01/02/2016 10:00,0.49776842,0.49776842
01/02/2016 11:00,0.49807566,0.49807566
01/02/2016 12:00,0.4983829,0.4983829
01/02/2016 13:00,0.49869014,0.49869014
01/02/2016 14:00,0.49899738,0.49899738
01/02/2016 15:00,0.499304619,0.499304619
01/02/2016 16:00,0.499611859,0.499611859
01/02/2016 17:00,0.499919099,0.499919099
01/02/2016 18:00,0.500226339,0.500226339
01/02/2016 19:00,0.500533579,0.500533579
01/02/2016 20:00,0.500840819,0.500840819
01/02/2016 21:00,0.501148059,0.501148059
01/02/2016 22:00,0.501455299,0.501455299
01/02/2016 23:00,0.501762539,0.501762539
01/03/2016 00:00,0.502069778,0.502069778
01/03/2016 01:00,0.502733791,0.502733791
01/03/2016 02:00,0.503397803,0.503397803
01/03/2016 03:00,0.504061816,0.504061816
01/03/2016 04:00,0.504725828,0.504725828
01/03/2016 05:00,0.505389841,0.505389841
01/03/2016 06:00,0.506053853,0.506053853
01/03/2016 07:00,0.506717866,0.506717866
01/03/2016 08:00,0.507381878,0.507381878
01/03/2016 09:00,0.508045891,0.508045891
01/03/2016 10:00,0.508709903,0.508709903
01/03/2016 11:00,0.509373915,0.509373915
01/03/2016 12:00,0.510037928,0.510037928
01/03/2016 13:00,0.51070194,0.51070194
01/03/2016 14:00,0.511365953,0.511365953
01/03/2016 15:00,0.512029965,0.512029965
01/03/2016 16:00,0.512693978,0.512693978
01/03/2016 17:00,0.51335799,0.51335799
01/03/2016 18:00,0.514022003,0.514022003
01/03/2016 19:00,0.514686015,0.514686015
01/03/2016 20:00,0.515350028,0.515350028
01/03/2016 21:00,0.51601404,0.51601404
01/03/2016 22:00,0.516678053,0.516678053
01/03/2016 23:00,0.517342065,0.517342065
01/04/2016 00:00,0.518006077,0.518006077
01/04/2016 01:00,0.518658487,0.518658487
01/04/2016 02:00,0.519310896,0.519310896
01/04/2016 03:00,0.519963305,0.519963305
01/04/2016 04:00,0.520615714,0.520615714
01/04/2016 05:00,0.521268123,0.521268123
01/04/2016 06:00,0.521920532,0.521920532
01/04/2016 07:00,0.522572941,0.522572941
01/04/2016 08:00,0.52322535,0.52322535
01/04/2016 09:00,0.523877759,0.523877759
01/04/2016 10:00,0.524530168,0.524530168
01/04/2016 11:00,0.525182577,0.525182577
01/04/2016 12:00,0.525834987,0.525834987
01/04/2016 13:00,0.526487396,0.526487396
01/04/2016 14:00,0.527139805,0.527139805
01/04/2016 15:00,0.527792214,0.527792214
01/04/2016 16:00,0.528444623,0.528444623
01/04/2016 17:00,0.529097032,0.529097032
01/04/2016 18:00,0.529749441,0.529749441
01/04/2016 19:00,0.53040185,0.53040185
01/04/2016 20:00,0.531054259,0.531054259
01/04/2016 21:00,0.531706668,0.531706668
01/04/2016 22:00,0.532359077,0.532359077
01/04/2016 23:00,0.533011486,0.533011486
01/05/2016 00:00,0.533663896,0.533663896
01/05/2016 01:00,0.534220047,0.534220047
01/05/2016 02:00,0.534776198,0.534776198
01/05/2016 03:00,0.535332349,0.535332349
01/05/2016 04:00,0.535888499,0.535888499
01/05/2016 05:00,0.53644465,0.53644465
01/05/2016 06:00,0.537000801,0.537000801
01/05/2016 07:00,0.537556952,0.537556952
01/05/2016 08:00,0.538113103,0.538113103
01/05/2016 09:00,0.538669254,0.538669254
01/05/2016 10:00,0.539225405,0.539225405
01/05/2016 11:00,0.539781556,0.539781556
01/05/2016 12:00,0.540337707,0.540337707
01/05/2016 13:00,0.540893858,0.540893858
01/05/2016 14:00,0.541450009,0.541450009
01/05/2016 15:00,0.54200616,0.54200616
01/05/2016 16:00,0.542562311,0.542562311
01/05/2016 17:00,0.543118462,0.543118462
01/05/2016 18:00,0.543674613,0.543674613
01/05/2016 19:00,0.544230764,0.544230764
01/05/2016 20:00,0.544786915,0.544786915
01/05/2016 21:00,0.545343066,0.545343066
01/05/2016 22:00,0.545899217,0.545899217
01/05/2016 23:00,0.546455368,0.546455368
01/06/2016 00:00,0.547011519,0.547011519
01/06/2016 01:00,0.547086005,0.547086005
01/06/2016 02:00,0.547160492,0.547160492
01/06/2016 03:00,0.547234978,0.547234978
01/06/2016 04:00,0.547309464,0.547309464
01/06/2016 05:00,0.54738395,0.54738395
01/06/2016 06:00,0.547458436,0.547458436
01/06/2016 07:00,0.547532922,0.547532922
01/06/2016 08:00,0.547607409,0.547607409
01/06/2016 09:00,0.547681895,0.547681895
01/06/2016 10:00,0.547756381,0.547756381
01/06/2016 11:00,0.547830867,0.547830867
01/06/2016 12:00,0.547905353,0.547905353
01/06/2016 13:00,0.54797984,0.54797984
01/06/2016 14:00,0.548054326,0.548054326
01/06/2016 15:00,0.548128812,0.548128812
01/06/2016 16:00,0.548203298,0.548203298
01/06/2016 17:00,0.548277784,0.548277784
01/06/2016 18:00,0.54835227,0.54835227
01/06/2016 19:00,0.548426757,0.548426757
01/06/2016 20:00,0.548501243,0.548501243
01/06/2016 21:00,0.548575729,0.548575729
01/06/2016 22:00,0.548650215,0.548650215
01/06/2016 23:00,0.548724701,0.548724701
01/07/2016 00:00,0.548799187,0.548799187
01/07/2016 01:00,0.548636116,0.548636116
01/07/2016 02:00,0.548473045,0.548473045
01/07/2016 03:00,0.548309974,0.548309974
01/07/2016 04:00,0.548146903,0.548146903
01/07/2016 05:00,0.547983832,0.547983832
01/07/2016 06:00,0.547820761,0.547820761
01/07/2016 07:00,0.54765769,0.54765769
01/07/2016 08:00,0.547494619,0.547494619
01/07/2016 09:00,0.547331548,0.547331548
01/07/2016 10:00,0.547168477,0.547168477
01/07/2016 11:00,0.547005406,0.547005406
01/07/2016 12:00,0.546842335,0.546842335
01/07/2016 13:00,0.546679263,0.546679263
01/07/2016 14:00,0.546516192,0.546516192
01/07/2016 15:00,0.546353121,0.546353121
01/07/2016 16:00,0.54619005,0.54619005
01/07/2016 17:00,0.546026979,0.546026979
01/07/2016 18:00,0.545863908,0.545863908
01/07/2016 19:00,0.545700837,0.545700837
01/07/2016 20:00,0.545537766,0.545537766
01/07/2016 21:00,0.545374695,0.545374695
01/07/2016 22:00,0.545211624,0.545211624
01/07/2016 23:00,0.545048553,0.545048553
01/08/2016 00:00,0.544885482,0.544885482
01/08/2016 01:00,0.544569196,0.544569196
01/08/2016 02:00,0.544252911,0.544252911
01/08/2016 03:00,0.543936625,0.543936625
01/08/2016 04:00,0.543620339,0.543620339
01/08/2016 05:00,0.543304054,0.543304054
01/08/2016 06:00,0.542987768,0.542987768
01/08/2016 07:00,0.542671483,0.542671483
01/08/2016 08:00,0.542355197,0.542355197
01/08/2016 09:00,0.542038912,0.542038912
01/08/2016 10:00,0.541722626,0.541722626
01/08/2016 11:00,0.541406341,0.541406341
