,HDAM,HPHS
01/01/2016 00:00,0.119930677,0.119930677
01/01/2016 01:00,0.119894517,0.119894517
01/01/2016 02:00,0.119858357,0.119858357
01/01/2016 03:00,0.119822198,0.119822198
01/01/2016 04:00,0.119786038,0.119786038
01/01/2016 05:00,0.119749878,0.119749878
01/01/2016 06:00,0.119713719,0.119713719
01/01/2016 07:00,0.119677559,0.119677559
01/01/2016 08:00,0.119641399,0.119641399
01/01/2016 09:00,0.11960524,0.11960524
01/01/2016 10:00,0.11956908,0.11956908
01/01/2016 11:00,0.11953292,0.11953292
01/01/2016 12:00,0.119496761,0.119496761
01/01/2016 13:00,0.119460601,0.119460601
01/01/2016 14:00,0.119424441,0.119424441
01/01/2016 15:00,0.119388281,0.119388281
01/01/2016 16:00,0.119352122,0.119352122
01/01/2016 17:00,0.119315962,0.119315962
01/01/2016 18:00,0.119279802,0.119279802
01/01/2016 19:00,0.119243643,0.119243643
01/01/2016 20:00,0.119207483,0.119207483
01/01/2016 21:00,0.119171323,0.119171323
01/01/2016 22:00,0.119135164,0.119135164
01/01/2016 23:00,0.119099004,0.119099004
01/02/2016 00:00,0.119062844,0.119062844
01/02/2016 01:00,0.11904024,0.11904024
01/02/2016 02:00,0.119017635,0.119017635
01/02/2016 03:00,0.11899503,0.11899503
01/02/2016 04:00,0.118972425,0.118972425
01/02/2016 05:00,0.118949821,0.118949821
01/02/2016 06:00,0.118927216,0.118927216
01/02/2016 07:00,0.118904611,0.118904611
01/02/2016 08:00,0.118882006,0.118882006
01/02/2016 09:00,0.118859401,0.118859401
01/02/2016 10:00,0.118836797,0.118836797
01/02/2016 11:00,0.118814192,0.118814192
01/02/2016 12:00,0.118791587,0.118791587
01/02/2016 13:00,0.118768982,0.118768982
01/02/2016 14:00,0.118746377,0.118746377
01/02/2016 15:00,0.118723773,0.118723773
01/02/2016 16:00,0.118701168,0.118701168
01/02/2016 17:00,0.118678563,0.118678563
01/02/2016 18:00,0.118655958,0.118655958
01/02/2016 19:00,0.118633354,0.118633354
01/02/2016 20:00,0.118610749,0.118610749
01/02/2016 21:00,0.118588144,0.118588144
01/02/2016 22:00,0.118565539,0.118565539
01/02/2016 23:00,0.118542934,0.118542934
01/03/2016 00:00,0.11852033,0.11852033
01/03/2016 01:00,0.118512705,0.118512705
01/03/2016 02:00,0.11850508,0.11850508
01/03/2016 03:00,0.118497456,0.118497456
01/03/2016 04:00,0.118489831,0.118489831
01/03/2016 05:00,0.118482207,0.118482207
01/03/2016 06:00,0.118474582,0.118474582
01/03/2016 07:00,0.118466957,0.118466957
01/03/2016 08:00,0.118459333,0.118459333
01/03/2016 09:00,0.118451708,0.118451708
01/03/2016 10:00,0.118444083,0.118444083
01/03/2016 11:00,0.118436459,0.118436459
01/03/2016 12:00,0.118428834,0.118428834
01/03/2016 13:00,0.11842121,0.11842121
01/03/2016 14:00,0.118413585,0.118413585
01/03/2016 15:00,0.11840596,0.11840596
01/03/2016 16:00,0.118398336,0.118398336
01/03/2016 17:00,0.118390711,0.118390711
01/03/2016 18:00,0.118383086,0.118383086
01/03/2016 19:00,0.118375462,0.118375462
01/03/2016 20:00,0.118367837,0.118367837
01/03/2016 21:00,0.118360212,0.118360212
01/03/2016 22:00,0.118352588,0.118352588
01/03/2016 23:00,0.118344963,0.118344963
01/04/2016 00:00,0.118337339,0.118337339
01/04/2016 01:00,0.118339063,0.118339063
01/04/2016 02:00,0.118340787,0.118340787
01/04/2016 03:00,0.118342511,0.118342511
01/04/2016 04:00,0.118344236,0.118344236
01/04/2016 05:00,0.11834596,0.11834596
01/04/2016 06:00,0.118347684,0.118347684
01/04/2016 07:00,0.118349408,0.118349408
01/04/2016 08:00,0.118351133,0.118351133
01/04/2016 09:00,0.118352857,0.118352857
01/04/2016 10:00,0.118354581,0.118354581
01/04/2016 11:00,0.118356306,0.118356306
01/04/2016 12:00,0.11835803,0.11835803
01/04/2016 13:00,0.118359754,0.118359754
01/04/2016 14:00,0.118361478,0.118361478
01/04/2016 15:00,0.118363203,0.118363203
01/04/2016 16:00,0.118364927,0.118364927
01/04/2016 17:00,0.118366651,0.118366651
01/04/2016 18:00,0.118368375,0.118368375
01/04/2016 19:00,0.1183701,0.1183701
01/04/2016 20:00,0.118371824,0.118371824
01/04/2016 21:00,0.118373548,0.118373548
01/04/2016 22:00,0.118375272,0.118375272
01/04/2016 23:00,0.118376997,0.118376997
01/05/2016 00:00,0.118378721,0.118378721
01/05/2016 01:00,0.118403309,0.118403309
01/05/2016 02:00,0.118427897,0.118427897
01/05/2016 03:00,0.118452485,0.118452485
01/05/2016 04:00,0.118477074,0.118477074
01/05/2016 05:00,0.118501662,0.118501662
01/05/2016 06:00,0.11852625,0.11852625
01/05/2016 07:00,0.118550838,0.118550838
01/05/2016 08:00,0.118575426,0.118575426
01/05/2016 09:00,0.118600015,0.118600015
01/05/2016 10:00,0.118624603,0.118624603
01/05/2016 11:00,0.118649191,0.118649191
01/05/2016 12:00,0.118673779,0.118673779
01/05/2016 13:00,0.118698367,0.118698367
01/05/2016 14:00,0.118722955,0.118722955
01/05/2016 15:00,0.118747544,0.118747544
01/05/2016 16:00,0.118772132,0.118772132
01/05/2016 17:00,0.11879672,0.11879672
01/05/2016 18:00,0.118821308,0.118821308
01/05/2016 19:00,0.118845896,0.118845896
01/05/2016 20:00,0.118870485,0.118870485
01/05/2016 21:00,0.118895073,0.118895073
01/05/2016 22:00,0.118919661,0.118919661
01/05/2016 23:00,0.118944249,0.118944249
01/06/2016 00:00,0.118968837,0.118968837
01/06/2016 01:00,0.118998,0.118998
01/06/2016 02:00,0.119027163,0.119027163
01/06/2016 03:00,0.119056326,0.119056326
01/06/2016 04:00,0.119085489,0.119085489
01/06/2016 05:00,0.119114652,0.119114652
01/06/2016 06:00,0.119143815,0.119143815
01/06/2016 07:00,0.119172978,0.119172978
01/06/2016 08:00,0.119202141,0.119202141
01/06/2016 09:00,0.119231304,0.119231304
01/06/2016 10:00,0.119260467,0.119260467
01/06/2016 11:00,0.11928963,0.11928963
01/06/2016 12:00,0.119318793,0.119318793
01/06/2016 13:00,0.119347956,0.119347956
01/06/2016 14:00,0.119377119,0.119377119
01/06/2016 15:00,0.119406282,0.119406282
01/06/2016 16:00,0.119435445,0.119435445
01/06/2016 17:00,0.119464607,0.119464607
01/06/2016 18:00,0.11949377,0.11949377
01/06/2016 19:00,0.119522933,0.119522933
01/06/2016 20:00,0.119552096,0.119552096
01/06/2016 21:00,0.119581259,0.119581259
01/06/2016 22:00,0.119610422,0.119610422
01/06/2016 23:00,0.119639585,0.119639585
01/07/2016 00:00,0.119668748,0.119668748
01/07/2016 01:00,0.119686081,0.119686081
01/07/2016 02:00,0.119703413,0.119703413
01/07/2016 03:00,0.119720745,0.119720745
01/07/2016 04:00,0.119738077,0.119738077
01/07/2016 05:00,0.11975541,0.11975541
01/07/2016 06:00,0.119772742,0.119772742
01/07/2016 07:00,0.119790074,0.119790074
01/07/2016 08:00,0.119807407,0.119807407
01/07/2016 09:00,0.119824739,0.119824739
01/07/2016 10:00,0.119842071,0.119842071
01/07/2016 11:00,0.119859404,0.119859404
01/07/2016 12:00,0.119876736,0.119876736
01/07/2016 13:00,0.119894068,0.119894068
01/07/2016 14:00,0.119911401,0.119911401
01/07/2016 15:00,0.119928733,0.119928733
01/07/2016 16:00,0.119946065,0.119946065
01/07/2016 17:00,0.119963398,0.119963398
01/07/2016 18:00,0.11998073,0.11998073
01/07/2016 19:00,0.119998062,0.119998062
01/07/2016 20:00,0.120015395,0.120015395
01/07/2016 21:00,0.120032727,0.120032727
01/07/2016 22:00,0.120050059,0.120050059
01/07/2016 23:00,0.120067392,0.120067392
01/08/2016 00:00,0.120084724,0.120084724
01/08/2016 01:00,0.120095129,0.120095129
01/08/2016 02:00,0.120105535,0.120105535
01/08/2016 03:00,0.12011594,0.12011594
01/08/2016 04:00,0.120126345,0.120126345
01/08/2016 05:00,0.120136751,0.120136751
01/08/2016 06:00,0.120147156,0.120147156
01/08/2016 07:00,0.120157562,0.120157562
01/08/2016 08:00,0.120167967,0.120167967
01/08/2016 09:00,0.120178372,0.120178372
01/08/2016 10:00,0.120188778,0.120188778
01/08/2016 11:00,0.120199183,0.120199183
01/08/2016 12:00,0.120209588,0.120209588
01/08/2016 13:00,0.120219994,0.120219994
01/08/2016 14:00,0.120230399,0.120230399
01/08/2016 15:00,0.120240805,0.120240805
01/08/2016 16:00,0.12025121,0.12025121
01/08/2016 17:00,0.120261615,0.120261615
01/08/2016 18:00,0.120272021,0.120272021
01/08/2016 19:00,0.120282426,0.120282426
01/08/2016 20:00,0.120292831,0.120292831
01/08/2016 21:00,0.120303237,0.120303237
01/08/2016 22:00,0.120313642,0.120313642
01/08/2016 23:00,0.120324048,0.120324048
01/09/2016 00:00,0.120334453,0.120334453
01/09/2016 01:00,0.120338619,0.120338619
01/09/2016 02:00,0.120342785,0.120342785
01/09/2016 03:00,0.120346951,0.120346951
01/09/2016 04:00,0.120351118,0.120351118
01/09/2016 05:00,0.120355284,0.120355284
01/09/2016 06:00,0.12035945,0.12035945
01/09/2016 07:00,0.120363616,0.120363616
01/09/2016 08:00,0.120367782,0.120367782
01/09/2016 09:00,0.120371948,0.120371948
01/09/2016 10:00,0.120376114,0.120376114
01/09/2016 11:00,0.12038028,0.12038028
01/09/2016 12:00,0.120384447,0.120384447
01/09/2016 13:00,0.120388613,0.120388613
01/09/2016 14:00,0.120392779,0.120392779
01/09/2016 15:00,0.120396945,0.120396945
01/09/2016 16:00,0.120401111,0.120401111
01/09/2016 17:00,0.120405277,0.120405277
01/09/2016 18:00,0.120409443,0.120409443
01/09/2016 19:00,0.12041361,0.12041361
01/09/2016 20:00,0.120417776,0.120417776
01/09/2016 21:00,0.120421942,0.120421942
01/09/2016 22:00,0.120426108,0.120426108
01/09/2016 23:00,0.120430274,0.120430274
01/10/2016 00:00,0.12043444,0.12043444
01/10/2016 01:00,0.12043154,0.12043154
01/10/2016 02:00,0.12042864,0.12042864
01/10/2016 03:00,0.120425739,0.120425739
01/10/2016 04:00,0.120422839,0.120422839
01/10/2016 05:00,0.120419939,0.120419939
01/10/2016 06:00,0.120417038,0.120417038
01/10/2016 07:00,0.120414138,0.120414138
01/10/2016 08:00,0.120411237,0.120411237
01/10/2016 09:00,0.120408337,0.120408337
01/10/2016 10:00,0.120405437,0.120405437
01/10/2016 11:00,0.120402536,0.120402536
01/10/2016 12:00,0.120399636,0.120399636
01/10/2016 13:00,0.120396736,0.120396736
01/10/2016 14:00,0.120393835,0.120393835
01/10/2016 15:00,0.120390935,0.120390935
01/10/2016 16:00,0.120388035,0.120388035
01/10/2016 17:00,0.120385134,0.120385134
01/10/2016 18:00,0.120382234,0.120382234
01/10/2016 19:00,0.120379334,0.120379334
01/10/2016 20:00,0.120376433,0.120376433
01/10/2016 21:00,0.120373533,0.120373533
01/10/2016 22:00,0.120370633,0.120370633
01/10/2016 23:00,0.120367732,0.120367732
01/11/2016 00:00,0.120364832,0.120364832
01/11/2016 01:00,0.120357945,0.120357945
01/11/2016 02:00,0.120351058,0.120351058
01/11/2016 03:00,0.120344171,0.120344171
01/11/2016 04:00,0.120337284,0.120337284
01/11/2016 05:00,0.120330396,0.120330396
01/11/2016 06:00,0.120323509,0.120323509
01/11/2016 07:00,0.120316622,0.120316622
01/11/2016 08:00,0.120309735,0.120309735
01/11/2016 09:00,0.120302848,0.120302848
01/11/2016 10:00,0.120295961,0.120295961
01/11/2016 11:00,0.120289074,0.120289074
01/11/2016 12:00,0.120282187,0.120282187
01/11/2016 13:00,0.1202753,0.1202753
01/11/2016 14:00,0.120268413,0.120268413
01/11/2016 15:00,0.120261526,0.120261526
01/11/2016 16:00,0.120254639,0.120254639
01/11/2016 17:00,0.120247751,0.120247751
01/11/2016 18:00,0.120240864,0.120240864
01/11/2016 19:00,0.120233977,0.120233977
01/11/2016 20:00,0.12022709,0.12022709
01/11/2016 21:00,0.120220203,0.120220203
01/11/2016 22:00,0.120213316,0.120213316
01/11/2016 23:00,0.120206429,0.120206429
01/12/2016 00:00,0.120199542,0.120199542
01/12/2016 01:00,0.120187343,0.120187343
01/12/2016 02:00,0.120175143,0.120175143
01/12/2016 03:00,0.120162944,0.120162944
01/12/2016 04:00,0.120150744,0.120150744
01/12/2016 05:00,0.120138545,0.120138545
01/12/2016 06:00,0.120126345,0.120126345
01/12/2016 07:00,0.120114146,0.120114146
01/12/2016 08:00,0.120101947,0.120101947
01/12/2016 09:00,0.120089747,0.120089747
01/12/2016 10:00,0.120077548,0.120077548
01/12/2016 11:00,0.120065348,0.120065348
01/12/2016 12:00,0.120053149,0.120053149
01/12/2016 13:00,0.12004095,0.12004095
01/12/2016 14:00,0.12002875,0.12002875
01/12/2016 15:00,0.120016551,0.120016551
01/12/2016 16:00,0.120004351,0.120004351
01/12/2016 17:00,0.119992152,0.119992152
01/12/2016 18:00,0.119979953,0.119979953
01/12/2016 19:00,0.119967753,0.119967753
01/12/2016 20:00,0.119955554,0.119955554
01/12/2016 21:00,0.119943354,0.119943354
01/12/2016 22:00,0.119931155,0.119931155
01/12/2016 23:00,0.119918956,0.119918956
1/13/2016 0:00,0.119906756,0.119906756
1/13/2016 1:00,0.119888686,0.119888686
1/13/2016 2:00,0.119870616,0.119870616
1/13/2016 3:00,0.119852547,0.119852547
1/13/2016 4:00,0.119834477,0.119834477
1/13/2016 5:00,0.119816407,0.119816407
1/13/2016 6:00,0.119798337,0.119798337
1/13/2016 7:00,0.119780267,0.119780267
