,HDAM,HPHS
01/01/2016 00:00,0.288048194,0.288048194
01/01/2016 01:00,0.288233301,0.288233301
01/01/2016 02:00,0.288418408,0.288418408
01/01/2016 03:00,0.288603515,0.288603515
01/01/2016 04:00,0.288788622,0.288788622
01/01/2016 05:00,0.28897373,0.28897373
01/01/2016 06:00,0.289158837,0.289158837
01/01/2016 07:00,0.289343944,0.289343944
01/01/2016 08:00,0.289529051,0.289529051
01/01/2016 09:00,0.289714158,0.289714158
01/01/2016 10:00,0.289899265,0.289899265
01/01/2016 11:00,0.290084372,0.290084372
01/01/2016 12:00,0.290269479,0.290269479
01/01/2016 13:00,0.290454586,0.290454586
01/01/2016 14:00,0.290639693,0.290639693
01/01/2016 15:00,0.2908248,0.2908248
01/01/2016 16:00,0.291009907,0.291009907
01/01/2016 17:00,0.291195014,0.291195014
01/01/2016 18:00,0.291380121,0.291380121
01/01/2016 19:00,0.291565228,0.291565228
01/01/2016 20:00,0.291750335,0.291750335
01/01/2016 21:00,0.291935442,0.291935442
01/01/2016 22:00,0.292120549,0.292120549
01/01/2016 23:00,0.292305656,0.292305656
01/02/2016 00:00,0.292490763,0.292490763
01/02/2016 01:00,0.292630513,0.292630513
01/02/2016 02:00,0.292770264,0.292770264
01/02/2016 03:00,0.292910015,0.292910015
01/02/2016 04:00,0.293049765,0.293049765
01/02/2016 05:00,0.293189516,0.293189516
01/02/2016 06:00,0.293329266,0.293329266
01/02/2016 07:00,0.293469017,0.293469017
01/02/2016 08:00,0.293608767,0.293608767
01/02/2016 09:00,0.293748518,0.293748518
01/02/2016 10:00,0.293888268,0.293888268
01/02/2016 11:00,0.294028019,0.294028019
01/02/2016 12:00,0.294167769,0.294167769
01/02/2016 13:00,0.29430752,0.29430752
01/02/2016 14:00,0.294447271,0.294447271
01/02/2016 15:00,0.294587021,0.294587021
01/02/2016 16:00,0.294726772,0.294726772
01/02/2016 17:00,0.294866522,0.294866522
01/02/2016 18:00,0.295006273,0.295006273
01/02/2016 19:00,0.295146023,0.295146023
01/02/2016 20:00,0.295285774,0.295285774
01/02/2016 21:00,0.295425524,0.295425524
01/02/2016 22:00,0.295565275,0.295565275
01/02/2016 23:00,0.295705025,0.295705025
01/03/2016 00:00,0.295844776,0.295844776
01/03/2016 01:00,0.295991928,0.295991928
01/03/2016 02:00,0.29613908,0.29613908
01/03/2016 03:00,0.296286233,0.296286233
01/03/2016 04:00,0.296433385,0.296433385
01/03/2016 05:00,0.296580537,0.296580537
01/03/2016 06:00,0.296727689,0.296727689
01/03/2016 07:00,0.296874841,0.296874841
01/03/2016 08:00,0.297021994,0.297021994
01/03/2016 09:00,0.297169146,0.297169146
01/03/2016 10:00,0.297316298,0.297316298
01/03/2016 11:00,0.29746345,0.29746345
01/03/2016 12:00,0.297610602,0.297610602
01/03/2016 13:00,0.297757755,0.297757755
01/03/2016 14:00,0.297904907,0.297904907
01/03/2016 15:00,0.298052059,0.298052059
01/03/2016 16:00,0.298199211,0.298199211
01/03/2016 17:00,0.298346363,0.298346363
01/03/2016 18:00,0.298493516,0.298493516
01/03/2016 19:00,0.298640668,0.298640668
01/03/2016 20:00,0.29878782,0.29878782
01/03/2016 21:00,0.298934972,0.298934972
01/03/2016 22:00,0.299082124,0.299082124
01/03/2016 23:00,0.299229277,0.299229277
01/04/2016 00:00,0.299376429,0.299376429
01/04/2016 01:00,0.299604473,0.299604473
01/04/2016 02:00,0.299832518,0.299832518
01/04/2016 03:00,0.300060562,0.300060562
01/04/2016 04:00,0.300288607,0.300288607
01/04/2016 05:00,0.300516651,0.300516651
01/04/2016 06:00,0.300744696,0.300744696
01/04/2016 07:00,0.30097274,0.30097274
01/04/2016 08:00,0.301200785,0.301200785
01/04/2016 09:00,0.301428829,0.301428829
01/04/2016 10:00,0.301656874,0.301656874
01/04/2016 11:00,0.301884918,0.301884918
01/04/2016 12:00,0.302112963,0.302112963
01/04/2016 13:00,0.302341007,0.302341007
01/04/2016 14:00,0.302569052,0.302569052
01/04/2016 15:00,0.302797096,0.302797096
01/04/2016 16:00,0.303025141,0.303025141
01/04/2016 17:00,0.303253185,0.303253185
01/04/2016 18:00,0.30348123,0.30348123
01/04/2016 19:00,0.303709274,0.303709274
01/04/2016 20:00,0.303937319,0.303937319
01/04/2016 21:00,0.304165363,0.304165363
01/04/2016 22:00,0.304393407,0.304393407
01/04/2016 23:00,0.304621452,0.304621452
01/05/2016 00:00,0.304849496,0.304849496
01/05/2016 01:00,0.305170818,0.305170818
01/05/2016 02:00,0.305492139,0.305492139
01/05/2016 03:00,0.30581346,0.30581346
01/05/2016 04:00,0.306134781,0.306134781
01/05/2016 05:00,0.306456102,0.306456102
01/05/2016 06:00,0.306777423,0.306777423
01/05/2016 07:00,0.307098744,0.307098744
01/05/2016 08:00,0.307420065,0.307420065
01/05/2016 09:00,0.307741386,0.307741386
01/05/2016 10:00,0.308062707,0.308062707
01/05/2016 11:00,0.308384028,0.308384028
01/05/2016 12:00,0.308705349,0.308705349
01/05/2016 13:00,0.30902667,0.30902667
01/05/2016 14:00,0.309347992,0.309347992
01/05/2016 15:00,0.309669313,0.309669313
01/05/2016 16:00,0.309990634,0.309990634
01/05/2016 17:00,0.310311955,0.310311955
01/05/2016 18:00,0.310633276,0.310633276
01/05/2016 19:00,0.310954597,0.310954597
01/05/2016 20:00,0.311275918,0.311275918
01/05/2016 21:00,0.311597239,0.311597239
01/05/2016 22:00,0.31191856,0.31191856
01/05/2016 23:00,0.312239881,0.312239881
01/06/2016 00:00,0.312561202,0.312561202
01/06/2016 01:00,0.312858294,0.312858294
01/06/2016 02:00,0.313155385,0.313155385
01/06/2016 03:00,0.313452477,0.313452477
01/06/2016 04:00,0.313749568,0.313749568
01/06/2016 05:00,0.31404666,0.31404666
01/06/2016 06:00,0.314343751,0.314343751
01/06/2016 07:00,0.314640843,0.314640843
01/06/2016 08:00,0.314937934,0.314937934
01/06/2016 09:00,0.315235026,0.315235026
01/06/2016 10:00,0.315532117,0.315532117
01/06/2016 11:00,0.315829209,0.315829209
01/06/2016 12:00,0.3161263,0.3161263
01/06/2016 13:00,0.316423392,0.316423392
01/06/2016 14:00,0.316720484,0.316720484
01/06/2016 15:00,0.317017575,0.317017575
01/06/2016 16:00,0.317314667,0.317314667
01/06/2016 17:00,0.317611758,0.317611758
01/06/2016 18:00,0.31790885,0.31790885
01/06/2016 19:00,0.318205941,0.318205941
01/06/2016 20:00,0.318503033,0.318503033
01/06/2016 21:00,0.318800124,0.318800124
01/06/2016 22:00,0.319097216,0.319097216
01/06/2016 23:00,0.319394307,0.319394307
01/07/2016 00:00,0.319691399,0.319691399
01/07/2016 01:00,0.319906612,0.319906612
01/07/2016 02:00,0.320121825,0.320121825
01/07/2016 03:00,0.320337038,0.320337038
01/07/2016 04:00,0.320552251,0.320552251
01/07/2016 05:00,0.320767465,0.320767465
01/07/2016 06:00,0.320982678,0.320982678
01/07/2016 07:00,0.321197891,0.321197891
01/07/2016 08:00,0.321413104,0.321413104
01/07/2016 09:00,0.321628318,0.321628318
01/07/2016 10:00,0.321843531,0.321843531
01/07/2016 11:00,0.322058744,0.322058744
01/07/2016 12:00,0.322273957,0.322273957
01/07/2016 13:00,0.32248917,0.32248917
01/07/2016 14:00,0.322704384,0.322704384
01/07/2016 15:00,0.322919597,0.322919597
01/07/2016 16:00,0.32313481,0.32313481
01/07/2016 17:00,0.323350023,0.323350023
01/07/2016 18:00,0.323565236,0.323565236
01/07/2016 19:00,0.32378045,0.32378045
01/07/2016 20:00,0.323995663,0.323995663
01/07/2016 21:00,0.324210876,0.324210876
01/07/2016 22:00,0.324426089,0.324426089
01/07/2016 23:00,0.324641302,0.324641302
01/08/2016 00:00,0.324856516,0.324856516
01/08/2016 01:00,0.325003234,0.325003234
01/08/2016 02:00,0.325149952,0.325149952
01/08/2016 03:00,0.325296671,0.325296671
01/08/2016 04:00,0.325443389,0.325443389
01/08/2016 05:00,0.325590107,0.325590107
01/08/2016 06:00,0.325736826,0.325736826
01/08/2016 07:00,0.325883544,0.325883544
01/08/2016 08:00,0.326030262,0.326030262
01/08/2016 09:00,0.326176981,0.326176981
01/08/2016 10:00,0.326323699,0.326323699
01/08/2016 11:00,0.326470418,0.326470418
01/08/2016 12:00,0.326617136,0.326617136
01/08/2016 13:00,0.326763854,0.326763854
01/08/2016 14:00,0.326910573,0.326910573
01/08/2016 15:00,0.327057291,0.327057291
01/08/2016 16:00,0.327204009,0.327204009
01/08/2016 17:00,0.327350728,0.327350728
01/08/2016 18:00,0.327497446,0.327497446
01/08/2016 19:00,0.327644164,0.327644164
01/08/2016 20:00,0.327790883,0.327790883
01/08/2016 21:00,0.327937601,0.327937601
01/08/2016 22:00,0.328084319,0.328084319
01/08/2016 23:00,0.328231038,0.328231038
01/09/2016 00:00,0.328377756,0.328377756
01/09/2016 01:00,0.32846321,0.32846321
01/09/2016 02:00,0.328548665,0.328548665
01/09/2016 03:00,0.328634119,0.328634119
01/09/2016 04:00,0.328719573,0.328719573
01/09/2016 05:00,0.328805027,0.328805027
01/09/2016 06:00,0.328890481,0.328890481
01/09/2016 07:00,0.328975936,0.328975936
01/09/2016 08:00,0.32906139,0.32906139
01/09/2016 09:00,0.329146844,0.329146844
01/09/2016 10:00,0.329232298,0.329232298
01/09/2016 11:00,0.329317753,0.329317753
01/09/2016 12:00,0.329403207,0.329403207
01/09/2016 13:00,0.329488661,0.329488661
01/09/2016 14:00,0.329574115,0.329574115
01/09/2016 15:00,0.32965957,0.32965957
01/09/2016 16:00,0.329745024,0.329745024
01/09/2016 17:00,0.329830478,0.329830478
01/09/2016 18:00,0.329915932,0.329915932
01/09/2016 19:00,0.330001387,0.330001387
01/09/2016 20:00,0.330086841,0.330086841
01/09/2016 21:00,0.330172295,0.330172295
01/09/2016 22:00,0.330257749,0.330257749
01/09/2016 23:00,0.330343204,0.330343204
01/10/2016 00:00,0.330428658,0.330428658
01/10/2016 01:00,0.330460473,0.330460473
01/10/2016 02:00,0.330492288,0.330492288
01/10/2016 03:00,0.330524104,0.330524104
01/10/2016 04:00,0.330555919,0.330555919
01/10/2016 05:00,0.330587734,0.330587734
01/10/2016 06:00,0.330619549,0.330619549
01/10/2016 07:00,0.330651365,0.330651365
01/10/2016 08:00,0.33068318,0.33068318
01/10/2016 09:00,0.330714995,0.330714995
01/10/2016 10:00,0.33074681,0.33074681
01/10/2016 11:00,0.330778626,0.330778626
01/10/2016 12:00,0.330810441,0.330810441
01/10/2016 13:00,0.330842256,0.330842256
01/10/2016 14:00,0.330874072,0.330874072
01/10/2016 15:00,0.330905887,0.330905887
01/10/2016 16:00,0.330937702,0.330937702
01/10/2016 17:00,0.330969517,0.330969517
01/10/2016 18:00,0.331001333,0.331001333
01/10/2016 19:00,0.331033148,0.331033148
01/10/2016 20:00,0.331064963,0.331064963
01/10/2016 21:00,0.331096778,0.331096778
01/10/2016 22:00,0.331128594,0.331128594
01/10/2016 23:00,0.331160409,0.331160409
01/11/2016 00:00,0.331192224,0.331192224
01/11/2016 01:00,0.331365368,0.331365368
01/11/2016 02:00,0.331538511,0.331538511
01/11/2016 03:00,0.331711655,0.331711655
01/11/2016 04:00,0.331884798,0.331884798
01/11/2016 05:00,0.332057941,0.332057941
01/11/2016 06:00,0.332231085,0.332231085
01/11/2016 07:00,0.332404228,0.332404228
01/11/2016 08:00,0.332577372,0.332577372
01/11/2016 09:00,0.332750515,0.332750515
01/11/2016 10:00,0.332923659,0.332923659
01/11/2016 11:00,0.333096802,0.333096802
01/11/2016 12:00,0.333269945,0.333269945
01/11/2016 13:00,0.333443089,0.333443089
01/11/2016 14:00,0.333616232,0.333616232
01/11/2016 15:00,0.333789376,0.333789376
01/11/2016 16:00,0.333962519,0.333962519
01/11/2016 17:00,0.334135663,0.334135663
01/11/2016 18:00,0.334308806,0.334308806
01/11/2016 19:00,0.334481949,0.334481949
01/11/2016 20:00,0.334655093,0.334655093
01/11/2016 21:00,0.334828236,0.334828236
01/11/2016 22:00,0.33500138,0.33500138
01/11/2016 23:00,0.335174523,0.335174523
01/12/2016 00:00,0.335347667,0.335347667
01/12/2016 01:00,0.336207731,0.336207731
01/12/2016 02:00,0.337067795,0.337067795
01/12/2016 03:00,0.337927859,0.337927859
01/12/2016 04:00,0.338787923,0.338787923
01/12/2016 05:00,0.339647987,0.339647987
01/12/2016 06:00,0.340508051,0.340508051
01/12/2016 07:00,0.341368115,0.341368115
01/12/2016 08:00,0.342228179,0.342228179
01/12/2016 09:00,0.343088243,0.343088243
01/12/2016 10:00,0.343948307,0.343948307
01/12/2016 11:00,0.344808371,0.344808371
01/12/2016 12:00,0.345668435,0.345668435
01/12/2016 13:00,0.346528499,0.346528499
01/12/2016 14:00,0.347388563,0.347388563
01/12/2016 15:00,0.348248627,0.348248627
01/12/2016 16:00,0.349108691,0.349108691
01/12/2016 17:00,0.349968755,0.349968755
01/12/2016 18:00,0.350828819,0.350828819
01/12/2016 19:00,0.351688883,0.351688883
01/12/2016 20:00,0.352548947,0.352548947
01/12/2016 21:00,0.353409011,0.353409011
01/12/2016 22:00,0.354269075,0.354269075
01/12/2016 23:00,0.355129139,0.355129139
1/13/2016 0:00,0.355989203,0.355989203
1/13/2016 1:00,0.357110494,0.357110494
1/13/2016 2:00,0.358231785,0.358231785
