,HDAM,HPHS
01/01/2016 00:00,0.785662099,0.785662099
01/01/2016 01:00,0.785011742,0.785011742
01/01/2016 02:00,0.784361384,0.784361384
01/01/2016 03:00,0.783711027,0.783711027
01/01/2016 04:00,0.78306067,0.78306067
01/01/2016 05:00,0.782410313,0.782410313
01/01/2016 06:00,0.781759957,0.781759957
01/01/2016 07:00,0.781109599,0.781109599
01/01/2016 08:00,0.780459242,0.780459242
01/01/2016 09:00,0.779808885,0.779808885
01/01/2016 10:00,0.779158528,0.779158528
01/01/2016 11:00,0.778508171,0.778508171
01/01/2016 12:00,0.777857813,0.777857813
01/01/2016 13:00,0.777207457,0.777207457
01/01/2016 14:00,0.7765571,0.7765571
01/01/2016 15:00,0.775906743,0.775906743
01/01/2016 16:00,0.775256386,0.775256386
01/01/2016 17:00,0.774606029,0.774606029
01/01/2016 18:00,0.773955671,0.773955671
01/01/2016 19:00,0.773305314,0.773305314
01/01/2016 20:00,0.772654958,0.772654958
01/01/2016 21:00,0.772004601,0.772004601
01/01/2016 22:00,0.771354244,0.771354244
01/01/2016 23:00,0.770703886,0.770703886
01/02/2016 00:00,0.770053529,0.770053529
01/02/2016 01:00,0.769538957,0.769538957
01/02/2016 02:00,0.769024384,0.769024384
01/02/2016 03:00,0.768509811,0.768509811
01/02/2016 04:00,0.767995239,0.767995239
01/02/2016 05:00,0.767480666,0.767480666
01/02/2016 06:00,0.766966093,0.766966093
01/02/2016 07:00,0.766451521,0.766451521
01/02/2016 08:00,0.765936947,0.765936947
01/02/2016 09:00,0.765422375,0.765422375
01/02/2016 10:00,0.764907802,0.764907802
01/02/2016 11:00,0.764393229,0.764393229
01/02/2016 12:00,0.763878657,0.763878657
01/02/2016 13:00,0.763364084,0.763364084
01/02/2016 14:00,0.762849511,0.762849511
01/02/2016 15:00,0.762334939,0.762334939
01/02/2016 16:00,0.761820366,0.761820366
01/02/2016 17:00,0.761305793,0.761305793
01/02/2016 18:00,0.760791221,0.760791221
01/02/2016 19:00,0.760276648,0.760276648
01/02/2016 20:00,0.759762074,0.759762074
01/02/2016 21:00,0.759247502,0.759247502
01/02/2016 22:00,0.758732929,0.758732929
01/02/2016 23:00,0.758218357,0.758218357
01/03/2016 00:00,0.757703784,0.757703784
01/03/2016 01:00,0.757167754,0.757167754
01/03/2016 02:00,0.756631723,0.756631723
