,HDAM,HPHS
01/01/2016 00:00,0.208271964,0.208271964
01/01/2016 01:00,0.208435143,0.208435143
01/01/2016 02:00,0.208598322,0.208598322
01/01/2016 03:00,0.208761501,0.208761501
01/01/2016 04:00,0.20892468,0.20892468
01/01/2016 05:00,0.209087859,0.209087859
01/01/2016 06:00,0.209251038,0.209251038
01/01/2016 07:00,0.209414217,0.209414217
01/01/2016 08:00,0.209577396,0.209577396
01/01/2016 09:00,0.209740575,0.209740575
01/01/2016 10:00,0.209903754,0.209903754
01/01/2016 11:00,0.210066933,0.210066933
01/01/2016 12:00,0.210230112,0.210230112
01/01/2016 13:00,0.210393291,0.210393291
01/01/2016 14:00,0.21055647,0.21055647
01/01/2016 15:00,0.210719649,0.210719649
01/01/2016 16:00,0.210882828,0.210882828
01/01/2016 17:00,0.211046007,0.211046007
01/01/2016 18:00,0.211209186,0.211209186
01/01/2016 19:00,0.211372365,0.211372365
01/01/2016 20:00,0.211535544,0.211535544
01/01/2016 21:00,0.211698723,0.211698723
01/01/2016 22:00,0.211861902,0.211861902
01/01/2016 23:00,0.212025081,0.212025081
01/02/2016 00:00,0.21218826,0.21218826
01/02/2016 01:00,0.21239282,0.21239282
01/02/2016 02:00,0.212597379,0.212597379
01/02/2016 03:00,0.212801938,0.212801938
01/02/2016 04:00,0.213006497,0.213006497
01/02/2016 05:00,0.213211056,0.213211056
01/02/2016 06:00,0.213415615,0.213415615
01/02/2016 07:00,0.213620174,0.213620174
01/02/2016 08:00,0.213824733,0.213824733
01/02/2016 09:00,0.214029293,0.214029293
01/02/2016 10:00,0.214233852,0.214233852
01/02/2016 11:00,0.214438411,0.214438411
01/02/2016 12:00,0.21464297,0.21464297
01/02/2016 13:00,0.214847529,0.214847529
01/02/2016 14:00,0.215052088,0.215052088
01/02/2016 15:00,0.215256647,0.215256647
01/02/2016 16:00,0.215461207,0.215461207
01/02/2016 17:00,0.215665766,0.215665766
01/02/2016 18:00,0.215870325,0.215870325
01/02/2016 19:00,0.216074884,0.216074884
01/02/2016 20:00,0.216279443,0.216279443
01/02/2016 21:00,0.216484002,0.216484002
01/02/2016 22:00,0.216688561,0.216688561
01/02/2016 23:00,0.216893121,0.216893121
01/03/2016 00:00,0.21709768,0.21709768
01/03/2016 01:00,0.217356739,0.217356739
01/03/2016 02:00,0.217615799,0.217615799
01/03/2016 03:00,0.217874859,0.217874859
01/03/2016 04:00,0.218133919,0.218133919
01/03/2016 05:00,0.218392979,0.218392979
01/03/2016 06:00,0.218652038,0.218652038
01/03/2016 07:00,0.218911098,0.218911098
01/03/2016 08:00,0.219170158,0.219170158
01/03/2016 09:00,0.219429218,0.219429218
01/03/2016 10:00,0.219688278,0.219688278
01/03/2016 11:00,0.219947337,0.219947337
01/03/2016 12:00,0.220206397,0.220206397
01/03/2016 13:00,0.220465457,0.220465457
01/03/2016 14:00,0.220724517,0.220724517
01/03/2016 15:00,0.220983577,0.220983577
01/03/2016 16:00,0.221242636,0.221242636
01/03/2016 17:00,0.221501696,0.221501696
01/03/2016 18:00,0.221760756,0.221760756
01/03/2016 19:00,0.222019816,0.222019816
01/03/2016 20:00,0.222278876,0.222278876
01/03/2016 21:00,0.222537935,0.222537935
01/03/2016 22:00,0.222796995,0.222796995
01/03/2016 23:00,0.223056055,0.223056055
01/04/2016 00:00,0.223315115,0.223315115
01/04/2016 01:00,0.223668965,0.223668965
01/04/2016 02:00,0.224022816,0.224022816
01/04/2016 03:00,0.224376666,0.224376666
01/04/2016 04:00,0.224730517,0.224730517
01/04/2016 05:00,0.225084368,0.225084368
01/04/2016 06:00,0.225438218,0.225438218
01/04/2016 07:00,0.225792069,0.225792069
01/04/2016 08:00,0.226145919,0.226145919
01/04/2016 09:00,0.22649977,0.22649977
01/04/2016 10:00,0.22685362,0.22685362
01/04/2016 11:00,0.227207471,0.227207471
01/04/2016 12:00,0.227561322,0.227561322
01/04/2016 13:00,0.227915172,0.227915172
01/04/2016 14:00,0.228269023,0.228269023
01/04/2016 15:00,0.228622873,0.228622873
01/04/2016 16:00,0.228976724,0.228976724
01/04/2016 17:00,0.229330574,0.229330574
01/04/2016 18:00,0.229684425,0.229684425
01/04/2016 19:00,0.230038276,0.230038276
01/04/2016 20:00,0.230392126,0.230392126
01/04/2016 21:00,0.230745977,0.230745977
01/04/2016 22:00,0.231099827,0.231099827
01/04/2016 23:00,0.231453678,0.231453678
01/05/2016 00:00,0.231807528,0.231807528
01/05/2016 01:00,0.232220563,0.232220563
01/05/2016 02:00,0.232633597,0.232633597
01/05/2016 03:00,0.233046631,0.233046631
01/05/2016 04:00,0.233459665,0.233459665
