,HDAM,HPHS
01/01/2016 00:00,0.850989458,0.850989458
01/01/2016 01:00,0.850684487,0.850684487
01/01/2016 02:00,0.850379515,0.850379515
01/01/2016 03:00,0.850074544,0.850074544
01/01/2016 04:00,0.849769572,0.849769572
01/01/2016 05:00,0.8494646,0.8494646
01/01/2016 06:00,0.849159629,0.849159629
01/01/2016 07:00,0.848854657,0.848854657
01/01/2016 08:00,0.848549686,0.848549686
01/01/2016 09:00,0.848244714,0.848244714
01/01/2016 10:00,0.847939742,0.847939742
01/01/2016 11:00,0.847634771,0.847634771
01/01/2016 12:00,0.847329799,0.847329799
01/01/2016 13:00,0.847024828,0.847024828
01/01/2016 14:00,0.846719856,0.846719856
01/01/2016 15:00,0.846414884,0.846414884
01/01/2016 16:00,0.846109913,0.846109913
01/01/2016 17:00,0.845804941,0.845804941
01/01/2016 18:00,0.84549997,0.84549997
01/01/2016 19:00,0.845194998,0.845194998
01/01/2016 20:00,0.844890027,0.844890027
01/01/2016 21:00,0.844585055,0.844585055
01/01/2016 22:00,0.844280083,0.844280083
01/01/2016 23:00,0.843975112,0.843975112
01/02/2016 00:00,0.84367014,0.84367014
01/02/2016 01:00,0.843504043,0.843504043
01/02/2016 02:00,0.843337945,0.843337945
01/02/2016 03:00,0.843171848,0.843171848
01/02/2016 04:00,0.843005751,0.843005751
01/02/2016 05:00,0.842839653,0.842839653
01/02/2016 06:00,0.842673556,0.842673556
01/02/2016 07:00,0.842507458,0.842507458
01/02/2016 08:00,0.842341361,0.842341361
01/02/2016 09:00,0.842175264,0.842175264
01/02/2016 10:00,0.842009166,0.842009166
01/02/2016 11:00,0.841843069,0.841843069
01/02/2016 12:00,0.841676972,0.841676972
01/02/2016 13:00,0.841510874,0.841510874
01/02/2016 14:00,0.841344777,0.841344777
01/02/2016 15:00,0.841178679,0.841178679
01/02/2016 16:00,0.841012582,0.841012582
01/02/2016 17:00,0.840846485,0.840846485
01/02/2016 18:00,0.840680387,0.840680387
01/02/2016 19:00,0.84051429,0.84051429
01/02/2016 20:00,0.840348192,0.840348192
01/02/2016 21:00,0.840182095,0.840182095
01/02/2016 22:00,0.840015998,0.840015998
01/02/2016 23:00,0.8398499,0.8398499
01/03/2016 00:00,0.839683803,0.839683803
01/03/2016 01:00,0.83952646,0.83952646
01/03/2016 02:00,0.839369117,0.839369117
01/03/2016 03:00,0.839211775,0.839211775
01/03/2016 04:00,0.839054432,0.839054432
01/03/2016 05:00,0.838897089,0.838897089
01/03/2016 06:00,0.838739746,0.838739746
01/03/2016 07:00,0.838582403,0.838582403
01/03/2016 08:00,0.838425061,0.838425061
01/03/2016 09:00,0.838267718,0.838267718
01/03/2016 10:00,0.838110375,0.838110375
01/03/2016 11:00,0.837953032,0.837953032
01/03/2016 12:00,0.837795689,0.837795689
01/03/2016 13:00,0.837638347,0.837638347
01/03/2016 14:00,0.837481004,0.837481004
01/03/2016 15:00,0.837323661,0.837323661
01/03/2016 16:00,0.837166318,0.837166318
01/03/2016 17:00,0.837008975,0.837008975
01/03/2016 18:00,0.836851633,0.836851633
01/03/2016 19:00,0.83669429,0.83669429
01/03/2016 20:00,0.836536947,0.836536947
01/03/2016 21:00,0.836379604,0.836379604
01/03/2016 22:00,0.836222261,0.836222261
01/03/2016 23:00,0.836064919,0.836064919
01/04/2016 00:00,0.835907576,0.835907576
01/04/2016 01:00,0.835810076,0.835810076
01/04/2016 02:00,0.835712576,0.835712576
01/04/2016 03:00,0.835615077,0.835615077
01/04/2016 04:00,0.835517577,0.835517577
01/04/2016 05:00,0.835420077,0.835420077
01/04/2016 06:00,0.835322577,0.835322577
01/04/2016 07:00,0.835225078,0.835225078
01/04/2016 08:00,0.835127578,0.835127578
01/04/2016 09:00,0.835030078,0.835030078
01/04/2016 10:00,0.834932578,0.834932578
01/04/2016 11:00,0.834835078,0.834835078
01/04/2016 12:00,0.834737579,0.834737579
01/04/2016 13:00,0.834640079,0.834640079
01/04/2016 14:00,0.834542579,0.834542579
01/04/2016 15:00,0.834445079,0.834445079
01/04/2016 16:00,0.83434758,0.83434758
01/04/2016 17:00,0.83425008,0.83425008
01/04/2016 18:00,0.83415258,0.83415258
01/04/2016 19:00,0.83405508,0.83405508
01/04/2016 20:00,0.833957581,0.833957581
01/04/2016 21:00,0.833860081,0.833860081
01/04/2016 22:00,0.833762581,0.833762581
01/04/2016 23:00,0.833665081,0.833665081
01/05/2016 00:00,0.833567582,0.833567582
01/05/2016 01:00,0.833457969,0.833457969
01/05/2016 02:00,0.833348357,0.833348357
01/05/2016 03:00,0.833238745,0.833238745
01/05/2016 04:00,0.833129132,0.833129132
01/05/2016 05:00,0.83301952,0.83301952
01/05/2016 06:00,0.832909908,0.832909908
01/05/2016 07:00,0.832800296,0.832800296
01/05/2016 08:00,0.832690683,0.832690683
01/05/2016 09:00,0.832581071,0.832581071
01/05/2016 10:00,0.832471459,0.832471459
01/05/2016 11:00,0.832361846,0.832361846
01/05/2016 12:00,0.832252234,0.832252234
01/05/2016 13:00,0.832142622,0.832142622
01/05/2016 14:00,0.83203301,0.83203301
01/05/2016 15:00,0.831923397,0.831923397
01/05/2016 16:00,0.831813785,0.831813785
01/05/2016 17:00,0.831704173,0.831704173
01/05/2016 18:00,0.83159456,0.83159456
01/05/2016 19:00,0.831484948,0.831484948
01/05/2016 20:00,0.831375336,0.831375336
01/05/2016 21:00,0.831265724,0.831265724
01/05/2016 22:00,0.831156111,0.831156111
01/05/2016 23:00,0.831046499,0.831046499
01/06/2016 00:00,0.830936887,0.830936887
01/06/2016 01:00,0.830742847,0.830742847
01/06/2016 02:00,0.830548807,0.830548807
01/06/2016 03:00,0.830354766,0.830354766
01/06/2016 04:00,0.830160726,0.830160726
01/06/2016 05:00,0.829966686,0.829966686
01/06/2016 06:00,0.829772646,0.829772646
01/06/2016 07:00,0.829578606,0.829578606
01/06/2016 08:00,0.829384566,0.829384566
01/06/2016 09:00,0.829190526,0.829190526
01/06/2016 10:00,0.828996486,0.828996486
01/06/2016 11:00,0.828802445,0.828802445
01/06/2016 12:00,0.828608405,0.828608405
01/06/2016 13:00,0.828414365,0.828414365
01/06/2016 14:00,0.828220325,0.828220325
01/06/2016 15:00,0.828026285,0.828026285
01/06/2016 16:00,0.827832245,0.827832245
01/06/2016 17:00,0.827638205,0.827638205
01/06/2016 18:00,0.827444165,0.827444165
01/06/2016 19:00,0.827250124,0.827250124
01/06/2016 20:00,0.827056084,0.827056084
01/06/2016 21:00,0.826862044,0.826862044
01/06/2016 22:00,0.826668004,0.826668004
01/06/2016 23:00,0.826473964,0.826473964
01/07/2016 00:00,0.826279924,0.826279924
01/07/2016 01:00,0.826065616,0.826065616
01/07/2016 02:00,0.825851309,0.825851309
01/07/2016 03:00,0.825637001,0.825637001
01/07/2016 04:00,0.825422693,0.825422693
01/07/2016 05:00,0.825208386,0.825208386
01/07/2016 06:00,0.824994078,0.824994078
01/07/2016 07:00,0.824779771,0.824779771
01/07/2016 08:00,0.824565463,0.824565463
01/07/2016 09:00,0.824351155,0.824351155
01/07/2016 10:00,0.824136848,0.824136848
01/07/2016 11:00,0.82392254,0.82392254
01/07/2016 12:00,0.823708233,0.823708233
01/07/2016 13:00,0.823493925,0.823493925
01/07/2016 14:00,0.823279617,0.823279617
01/07/2016 15:00,0.82306531,0.82306531
01/07/2016 16:00,0.822851002,0.822851002
01/07/2016 17:00,0.822636695,0.822636695
01/07/2016 18:00,0.822422387,0.822422387
01/07/2016 19:00,0.822208079,0.822208079
01/07/2016 20:00,0.821993772,0.821993772
01/07/2016 21:00,0.821779464,0.821779464
01/07/2016 22:00,0.821565157,0.821565157
01/07/2016 23:00,0.821350849,0.821350849
01/08/2016 00:00,0.821136541,0.821136541
01/08/2016 01:00,0.820891893,0.820891893
01/08/2016 02:00,0.820647244,0.820647244
01/08/2016 03:00,0.820402595,0.820402595
01/08/2016 04:00,0.820157946,0.820157946
01/08/2016 05:00,0.819913297,0.819913297
01/08/2016 06:00,0.819668648,0.819668648
01/08/2016 07:00,0.819423999,0.819423999
01/08/2016 08:00,0.819179351,0.819179351
01/08/2016 09:00,0.818934702,0.818934702
01/08/2016 10:00,0.818690053,0.818690053
01/08/2016 11:00,0.818445404,0.818445404
01/08/2016 12:00,0.818200755,0.818200755
01/08/2016 13:00,0.817956106,0.817956106
01/08/2016 14:00,0.817711457,0.817711457
01/08/2016 15:00,0.817466809,0.817466809
01/08/2016 16:00,0.81722216,0.81722216
01/08/2016 17:00,0.816977511,0.816977511
01/08/2016 18:00,0.816732862,0.816732862
01/08/2016 19:00,0.816488213,0.816488213
01/08/2016 20:00,0.816243564,0.816243564
01/08/2016 21:00,0.815998915,0.815998915
01/08/2016 22:00,0.815754267,0.815754267
01/08/2016 23:00,0.815509618,0.815509618
01/09/2016 00:00,0.815264969,0.815264969
01/09/2016 01:00,0.814965394,0.814965394
01/09/2016 02:00,0.814665819,0.814665819
01/09/2016 03:00,0.814366244,0.814366244
01/09/2016 04:00,0.814066669,0.814066669
01/09/2016 05:00,0.813767094,0.813767094
01/09/2016 06:00,0.813467519,0.813467519
01/09/2016 07:00,0.813167944,0.813167944
01/09/2016 08:00,0.81286837,0.81286837
01/09/2016 09:00,0.812568795,0.812568795
01/09/2016 10:00,0.81226922,0.81226922
01/09/2016 11:00,0.811969645,0.811969645
01/09/2016 12:00,0.81167007,0.81167007
01/09/2016 13:00,0.811370495,0.811370495
01/09/2016 14:00,0.81107092,0.81107092
01/09/2016 15:00,0.810771345,0.810771345
01/09/2016 16:00,0.81047177,0.81047177
01/09/2016 17:00,0.810172195,0.810172195
01/09/2016 18:00,0.80987262,0.80987262
01/09/2016 19:00,0.809573045,0.809573045
01/09/2016 20:00,0.80927347,0.80927347
01/09/2016 21:00,0.808973896,0.808973896
01/09/2016 22:00,0.808674321,0.808674321
01/09/2016 23:00,0.808374746,0.808374746
01/10/2016 00:00,0.808075171,0.808075171
01/10/2016 01:00,0.807778954,0.807778954
01/10/2016 02:00,0.807482737,0.807482737
01/10/2016 03:00,0.80718652,0.80718652
01/10/2016 04:00,0.806890303,0.806890303
01/10/2016 05:00,0.806594086,0.806594086
01/10/2016 06:00,0.806297869,0.806297869
01/10/2016 07:00,0.806001652,0.806001652
01/10/2016 08:00,0.805705435,0.805705435
01/10/2016 09:00,0.805409218,0.805409218
01/10/2016 10:00,0.805113001,0.805113001
01/10/2016 11:00,0.804816784,0.804816784
01/10/2016 12:00,0.804520567,0.804520567
01/10/2016 13:00,0.80422435,0.80422435
01/10/2016 14:00,0.803928133,0.803928133
01/10/2016 15:00,0.803631916,0.803631916
01/10/2016 16:00,0.803335699,0.803335699
01/10/2016 17:00,0.803039482,0.803039482
01/10/2016 18:00,0.802743265,0.802743265
01/10/2016 19:00,0.802447048,0.802447048
01/10/2016 20:00,0.802150831,0.802150831
01/10/2016 21:00,0.801854614,0.801854614
01/10/2016 22:00,0.801558397,0.801558397
01/10/2016 23:00,0.80126218,0.80126218
01/11/2016 00:00,0.800965963,0.800965963
01/11/2016 01:00,0.80058136,0.80058136
01/11/2016 02:00,0.800196758,0.800196758
01/11/2016 03:00,0.799812156,0.799812156
01/11/2016 04:00,0.799427553,0.799427553
01/11/2016 05:00,0.799042951,0.799042951
01/11/2016 06:00,0.798658348,0.798658348
01/11/2016 07:00,0.798273746,0.798273746
01/11/2016 08:00,0.797889144,0.797889144
01/11/2016 09:00,0.797504541,0.797504541
01/11/2016 10:00,0.797119939,0.797119939
01/11/2016 11:00,0.796735337,0.796735337
01/11/2016 12:00,0.796350734,0.796350734
01/11/2016 13:00,0.795966132,0.795966132
01/11/2016 14:00,0.795581529,0.795581529
01/11/2016 15:00,0.795196927,0.795196927
01/11/2016 16:00,0.794812325,0.794812325
01/11/2016 17:00,0.794427722,0.794427722
01/11/2016 18:00,0.79404312,0.79404312
01/11/2016 19:00,0.793658517,0.793658517
01/11/2016 20:00,0.793273915,0.793273915
01/11/2016 21:00,0.792889313,0.792889313
01/11/2016 22:00,0.79250471,0.79250471
01/11/2016 23:00,0.792120108,0.792120108
01/12/2016 00:00,0.791735505,0.791735505
01/12/2016 01:00,0.791377407,0.791377407
01/12/2016 02:00,0.791019308,0.791019308
01/12/2016 03:00,0.790661209,0.790661209
01/12/2016 04:00,0.79030311,0.79030311
01/12/2016 05:00,0.789945012,0.789945012
01/12/2016 06:00,0.789586913,0.789586913
01/12/2016 07:00,0.789228814,0.789228814
01/12/2016 08:00,0.788870715,0.788870715
01/12/2016 09:00,0.788512617,0.788512617
01/12/2016 10:00,0.788154518,0.788154518
01/12/2016 11:00,0.787796419,0.787796419
01/12/2016 12:00,0.78743832,0.78743832
01/12/2016 13:00,0.787080221,0.787080221
01/12/2016 14:00,0.786722123,0.786722123
01/12/2016 15:00,0.786364024,0.786364024
01/12/2016 16:00,0.786005925,0.786005925
01/12/2016 17:00,0.785647826,0.785647826
01/12/2016 18:00,0.785289728,0.785289728
01/12/2016 19:00,0.784931629,0.784931629
01/12/2016 20:00,0.78457353,0.78457353
01/12/2016 21:00,0.784215431,0.784215431
01/12/2016 22:00,0.783857333,0.783857333
01/12/2016 23:00,0.783499234,0.783499234
1/13/2016 0:00,0.783141135,0.783141135
1/13/2016 1:00,0.782697529,0.782697529
1/13/2016 2:00,0.782253923,0.782253923
1/13/2016 3:00,0.781810317,0.781810317
1/13/2016 4:00,0.781366711,0.781366711
1/13/2016 5:00,0.780923105,0.780923105
1/13/2016 6:00,0.780479499,0.780479499
1/13/2016 7:00,0.780035893,0.780035893
1/13/2016 8:00,0.779592287,0.779592287
1/13/2016 9:00,0.779148682,0.779148682
1/13/2016 10:00,0.778705076,0.778705076
1/13/2016 11:00,0.77826147,0.77826147
1/13/2016 12:00,0.777817864,0.777817864
1/13/2016 13:00,0.777374258,0.777374258
1/13/2016 14:00,0.776930652,0.776930652
1/13/2016 15:00,0.776487046,0.776487046
1/13/2016 16:00,0.77604344,0.77604344
1/13/2016 17:00,0.775599834,0.775599834
1/13/2016 18:00,0.775156228,0.775156228
1/13/2016 19:00,0.774712622,0.774712622
1/13/2016 20:00,0.774269016,0.774269016
1/13/2016 21:00,0.77382541,0.77382541
1/13/2016 22:00,0.773381804,0.773381804
1/13/2016 23:00,0.772938198,0.772938198
1/14/2016 0:00,0.772494592,0.772494592
1/14/2016 1:00,0.772195377,0.772195377
1/14/2016 2:00,0.771896162,0.771896162
1/14/2016 3:00,0.771596947,0.771596947
1/14/2016 4:00,0.771297732,0.771297732
1/14/2016 5:00,0.770998517,0.770998517
1/14/2016 6:00,0.770699302,0.770699302
1/14/2016 7:00,0.770400086,0.770400086
1/14/2016 8:00,0.770100871,0.770100871
1/14/2016 9:00,0.769801656,0.769801656
1/14/2016 10:00,0.769502441,0.769502441
1/14/2016 11:00,0.769203226,0.769203226
1/14/2016 12:00,0.768904011,0.768904011
1/14/2016 13:00,0.768604796,0.768604796
1/14/2016 14:00,0.76830558,0.76830558
1/14/2016 15:00,0.768006365,0.768006365
