,HDAM,HPHS
01/01/2016 00:00,0.081716098,0.081716098
01/01/2016 01:00,0.081754512,0.081754512
01/01/2016 02:00,0.081792926,0.081792926
01/01/2016 03:00,0.08183134,0.08183134
01/01/2016 04:00,0.081869754,0.081869754
01/01/2016 05:00,0.081908168,0.081908168
01/01/2016 06:00,0.081946582,0.081946582
01/01/2016 07:00,0.081984997,0.081984997
01/01/2016 08:00,0.082023411,0.082023411
01/01/2016 09:00,0.082061825,0.082061825
01/01/2016 10:00,0.082100239,0.082100239
01/01/2016 11:00,0.082138653,0.082138653
01/01/2016 12:00,0.082177067,0.082177067
01/01/2016 13:00,0.082215481,0.082215481
01/01/2016 14:00,0.082253895,0.082253895
01/01/2016 15:00,0.082292309,0.082292309
01/01/2016 16:00,0.082330723,0.082330723
01/01/2016 17:00,0.082369137,0.082369137
01/01/2016 18:00,0.082407552,0.082407552
01/01/2016 19:00,0.082445966,0.082445966
01/01/2016 20:00,0.08248438,0.08248438
01/01/2016 21:00,0.082522794,0.082522794
01/01/2016 22:00,0.082561208,0.082561208
01/01/2016 23:00,0.082599622,0.082599622
01/02/2016 00:00,0.082638036,0.082638036
01/02/2016 01:00,0.082671384,0.082671384
01/02/2016 02:00,0.082704732,0.082704732
01/02/2016 03:00,0.082738081,0.082738081
01/02/2016 04:00,0.082771429,0.082771429
01/02/2016 05:00,0.082804777,0.082804777
01/02/2016 06:00,0.082838125,0.082838125
01/02/2016 07:00,0.082871473,0.082871473
01/02/2016 08:00,0.082904821,0.082904821
01/02/2016 09:00,0.08293817,0.08293817
01/02/2016 10:00,0.082971518,0.082971518
01/02/2016 11:00,0.083004866,0.083004866
01/02/2016 12:00,0.083038214,0.083038214
01/02/2016 13:00,0.083071562,0.083071562
01/02/2016 14:00,0.08310491,0.08310491
01/02/2016 15:00,0.083138259,0.083138259
01/02/2016 16:00,0.083171607,0.083171607
01/02/2016 17:00,0.083204955,0.083204955
01/02/2016 18:00,0.083238303,0.083238303
01/02/2016 19:00,0.083271651,0.083271651
01/02/2016 20:00,0.083304999,0.083304999
01/02/2016 21:00,0.083338348,0.083338348
01/02/2016 22:00,0.083371696,0.083371696
01/02/2016 23:00,0.083405044,0.083405044
01/03/2016 00:00,0.083438392,0.083438392
