,HDAM,HPHS
01/01/2016 00:00,0.334582099,0.334582099
01/01/2016 01:00,0.334420971,0.334420971
01/01/2016 02:00,0.334259843,0.334259843
01/01/2016 03:00,0.334098715,0.334098715
01/01/2016 04:00,0.333937587,0.333937587
01/01/2016 05:00,0.333776459,0.333776459
01/01/2016 06:00,0.333615331,0.333615331
01/01/2016 07:00,0.333454203,0.333454203
01/01/2016 08:00,0.333293075,0.333293075
01/01/2016 09:00,0.333131946,0.333131946
01/01/2016 10:00,0.332970818,0.332970818
01/01/2016 11:00,0.33280969,0.33280969
01/01/2016 12:00,0.332648562,0.332648562
01/01/2016 13:00,0.332487434,0.332487434
01/01/2016 14:00,0.332326306,0.332326306
01/01/2016 15:00,0.332165178,0.332165178
01/01/2016 16:00,0.33200405,0.33200405
01/01/2016 17:00,0.331842922,0.331842922
01/01/2016 18:00,0.331681794,0.331681794
01/01/2016 19:00,0.331520665,0.331520665
01/01/2016 20:00,0.331359537,0.331359537
01/01/2016 21:00,0.331198409,0.331198409
01/01/2016 22:00,0.331037281,0.331037281
01/01/2016 23:00,0.330876153,0.330876153
01/02/2016 00:00,0.330715025,0.330715025
01/02/2016 01:00,0.330641044,0.330641044
01/02/2016 02:00,0.330567062,0.330567062
01/02/2016 03:00,0.330493081,0.330493081
01/02/2016 04:00,0.3304191,0.3304191
01/02/2016 05:00,0.330345118,0.330345118
01/02/2016 06:00,0.330271137,0.330271137
01/02/2016 07:00,0.330197155,0.330197155
01/02/2016 08:00,0.330123174,0.330123174
01/02/2016 09:00,0.330049193,0.330049193
01/02/2016 10:00,0.329975211,0.329975211
01/02/2016 11:00,0.32990123,0.32990123
01/02/2016 12:00,0.329827248,0.329827248
01/02/2016 13:00,0.329753267,0.329753267
01/02/2016 14:00,0.329679286,0.329679286
01/02/2016 15:00,0.329605304,0.329605304
01/02/2016 16:00,0.329531323,0.329531323
01/02/2016 17:00,0.329457342,0.329457342
01/02/2016 18:00,0.32938336,0.32938336
01/02/2016 19:00,0.329309379,0.329309379
01/02/2016 20:00,0.329235397,0.329235397
01/02/2016 21:00,0.329161416,0.329161416
01/02/2016 22:00,0.329087435,0.329087435
01/02/2016 23:00,0.329013453,0.329013453
01/03/2016 00:00,0.328939472,0.328939472
01/03/2016 01:00,0.328958532,0.328958532
01/03/2016 02:00,0.328977593,0.328977593
01/03/2016 03:00,0.328996653,0.328996653
01/03/2016 04:00,0.329015713,0.329015713
01/03/2016 05:00,0.329034773,0.329034773
01/03/2016 06:00,0.329053834,0.329053834
01/03/2016 07:00,0.329072894,0.329072894
01/03/2016 08:00,0.329091954,0.329091954
01/03/2016 09:00,0.329111014,0.329111014
01/03/2016 10:00,0.329130075,0.329130075
01/03/2016 11:00,0.329149135,0.329149135
01/03/2016 12:00,0.329168195,0.329168195
01/03/2016 13:00,0.329187256,0.329187256
01/03/2016 14:00,0.329206316,0.329206316
01/03/2016 15:00,0.329225376,0.329225376
01/03/2016 16:00,0.329244436,0.329244436
01/03/2016 17:00,0.329263497,0.329263497
01/03/2016 18:00,0.329282557,0.329282557
01/03/2016 19:00,0.329301617,0.329301617
01/03/2016 20:00,0.329320677,0.329320677
01/03/2016 21:00,0.329339738,0.329339738
01/03/2016 22:00,0.329358798,0.329358798
01/03/2016 23:00,0.329377858,0.329377858
01/04/2016 00:00,0.329396919,0.329396919
01/04/2016 01:00,0.329498017,0.329498017
01/04/2016 02:00,0.329599115,0.329599115
01/04/2016 03:00,0.329700213,0.329700213
01/04/2016 04:00,0.329801311,0.329801311
01/04/2016 05:00,0.329902409,0.329902409
01/04/2016 06:00,0.330003507,0.330003507
01/04/2016 07:00,0.330104605,0.330104605
01/04/2016 08:00,0.330205703,0.330205703
01/04/2016 09:00,0.330306801,0.330306801
01/04/2016 10:00,0.330407899,0.330407899
01/04/2016 11:00,0.330508997,0.330508997
01/04/2016 12:00,0.330610095,0.330610095
01/04/2016 13:00,0.330711193,0.330711193
01/04/2016 14:00,0.330812291,0.330812291
01/04/2016 15:00,0.330913389,0.330913389
01/04/2016 16:00,0.331014487,0.331014487
01/04/2016 17:00,0.331115586,0.331115586
01/04/2016 18:00,0.331216684,0.331216684
01/04/2016 19:00,0.331317782,0.331317782
01/04/2016 20:00,0.33141888,0.33141888
01/04/2016 21:00,0.331519978,0.331519978
01/04/2016 22:00,0.331621076,0.331621076
01/04/2016 23:00,0.331722174,0.331722174
01/05/2016 00:00,0.331823272,0.331823272
01/05/2016 01:00,0.331853336,0.331853336
01/05/2016 02:00,0.3318834,0.3318834
01/05/2016 03:00,0.331913464,0.331913464
01/05/2016 04:00,0.331943528,0.331943528
01/05/2016 05:00,0.331973593,0.331973593
01/05/2016 06:00,0.332003657,0.332003657
01/05/2016 07:00,0.332033721,0.332033721
01/05/2016 08:00,0.332063785,0.332063785
01/05/2016 09:00,0.332093849,0.332093849
01/05/2016 10:00,0.332123913,0.332123913
01/05/2016 11:00,0.332153978,0.332153978
01/05/2016 12:00,0.332184042,0.332184042
01/05/2016 13:00,0.332214106,0.332214106
01/05/2016 14:00,0.33224417,0.33224417
01/05/2016 15:00,0.332274234,0.332274234
01/05/2016 16:00,0.332304298,0.332304298
01/05/2016 17:00,0.332334362,0.332334362
01/05/2016 18:00,0.332364427,0.332364427
01/05/2016 19:00,0.332394491,0.332394491
01/05/2016 20:00,0.332424555,0.332424555
01/05/2016 21:00,0.332454619,0.332454619
01/05/2016 22:00,0.332484683,0.332484683
01/05/2016 23:00,0.332514747,0.332514747
01/06/2016 00:00,0.332544811,0.332544811
01/06/2016 01:00,0.332496964,0.332496964
01/06/2016 02:00,0.332449117,0.332449117
01/06/2016 03:00,0.33240127,0.33240127
01/06/2016 04:00,0.332353423,0.332353423
01/06/2016 05:00,0.332305575,0.332305575
01/06/2016 06:00,0.332257728,0.332257728
01/06/2016 07:00,0.332209881,0.332209881
01/06/2016 08:00,0.332162034,0.332162034
01/06/2016 09:00,0.332114187,0.332114187
01/06/2016 10:00,0.33206634,0.33206634
01/06/2016 11:00,0.332018492,0.332018492
01/06/2016 12:00,0.331970645,0.331970645
01/06/2016 13:00,0.331922798,0.331922798
01/06/2016 14:00,0.331874951,0.331874951
01/06/2016 15:00,0.331827104,0.331827104
01/06/2016 16:00,0.331779256,0.331779256
01/06/2016 17:00,0.331731409,0.331731409
01/06/2016 18:00,0.331683562,0.331683562
01/06/2016 19:00,0.331635715,0.331635715
01/06/2016 20:00,0.331587868,0.331587868
01/06/2016 21:00,0.331540021,0.331540021
01/06/2016 22:00,0.331492173,0.331492173
01/06/2016 23:00,0.331444326,0.331444326
01/07/2016 00:00,0.331396479,0.331396479
01/07/2016 01:00,0.331294202,0.331294202
01/07/2016 02:00,0.331191925,0.331191925
01/07/2016 03:00,0.331089648,0.331089648
01/07/2016 04:00,0.330987371,0.330987371
01/07/2016 05:00,0.330885094,0.330885094
01/07/2016 06:00,0.330782817,0.330782817
01/07/2016 07:00,0.33068054,0.33068054
01/07/2016 08:00,0.330578263,0.330578263
01/07/2016 09:00,0.330475986,0.330475986
01/07/2016 10:00,0.330373709,0.330373709
01/07/2016 11:00,0.330271431,0.330271431
01/07/2016 12:00,0.330169154,0.330169154
01/07/2016 13:00,0.330066877,0.330066877
01/07/2016 14:00,0.3299646,0.3299646
01/07/2016 15:00,0.329862323,0.329862323
01/07/2016 16:00,0.329760046,0.329760046
01/07/2016 17:00,0.329657769,0.329657769
01/07/2016 18:00,0.329555492,0.329555492
01/07/2016 19:00,0.329453215,0.329453215
01/07/2016 20:00,0.329350938,0.329350938
01/07/2016 21:00,0.329248661,0.329248661
01/07/2016 22:00,0.329146384,0.329146384
01/07/2016 23:00,0.329044107,0.329044107
01/08/2016 00:00,0.32894183,0.32894183
01/08/2016 01:00,0.328798288,0.328798288
01/08/2016 02:00,0.328654747,0.328654747
01/08/2016 03:00,0.328511205,0.328511205
01/08/2016 04:00,0.328367664,0.328367664
01/08/2016 05:00,0.328224122,0.328224122
01/08/2016 06:00,0.328080581,0.328080581
01/08/2016 07:00,0.327937039,0.327937039
01/08/2016 08:00,0.327793498,0.327793498
01/08/2016 09:00,0.327649956,0.327649956
01/08/2016 10:00,0.327506414,0.327506414
01/08/2016 11:00,0.327362873,0.327362873
01/08/2016 12:00,0.327219331,0.327219331
01/08/2016 13:00,0.32707579,0.32707579
01/08/2016 14:00,0.326932248,0.326932248
01/08/2016 15:00,0.326788707,0.326788707
01/08/2016 16:00,0.326645165,0.326645165
01/08/2016 17:00,0.326501624,0.326501624
01/08/2016 18:00,0.326358082,0.326358082
