,HDAM,HPHS
01/01/2016 00:00,0.462982066,0.462982066
01/01/2016 01:00,0.462943477,0.462943477
01/01/2016 02:00,0.462904888,0.462904888
01/01/2016 03:00,0.4628663,0.4628663
01/01/2016 04:00,0.462827711,0.462827711
01/01/2016 05:00,0.462789122,0.462789122
01/01/2016 06:00,0.462750534,0.462750534
01/01/2016 07:00,0.462711945,0.462711945
01/01/2016 08:00,0.462673356,0.462673356
01/01/2016 09:00,0.462634768,0.462634768
01/01/2016 10:00,0.462596179,0.462596179
01/01/2016 11:00,0.46255759,0.46255759
01/01/2016 12:00,0.462519002,0.462519002
01/01/2016 13:00,0.462480413,0.462480413
01/01/2016 14:00,0.462441824,0.462441824
01/01/2016 15:00,0.462403236,0.462403236
01/01/2016 16:00,0.462364647,0.462364647
01/01/2016 17:00,0.462326058,0.462326058
01/01/2016 18:00,0.46228747,0.46228747
01/01/2016 19:00,0.462248881,0.462248881
01/01/2016 20:00,0.462210292,0.462210292
01/01/2016 21:00,0.462171704,0.462171704
01/01/2016 22:00,0.462133115,0.462133115
01/01/2016 23:00,0.462094526,0.462094526
01/02/2016 00:00,0.462055938,0.462055938
01/02/2016 01:00,0.462134598,0.462134598
01/02/2016 02:00,0.462213258,0.462213258
01/02/2016 03:00,0.462291918,0.462291918
01/02/2016 04:00,0.462370578,0.462370578
01/02/2016 05:00,0.462449239,0.462449239
01/02/2016 06:00,0.462527899,0.462527899
01/02/2016 07:00,0.462606559,0.462606559
01/02/2016 08:00,0.462685219,0.462685219
01/02/2016 09:00,0.462763879,0.462763879
01/02/2016 10:00,0.462842539,0.462842539
01/02/2016 11:00,0.4629212,0.4629212
01/02/2016 12:00,0.46299986,0.46299986
01/02/2016 13:00,0.46307852,0.46307852
01/02/2016 14:00,0.46315718,0.46315718
01/02/2016 15:00,0.46323584,0.46323584
01/02/2016 16:00,0.463314501,0.463314501
01/02/2016 17:00,0.463393161,0.463393161
01/02/2016 18:00,0.463471821,0.463471821
01/02/2016 19:00,0.463550481,0.463550481
01/02/2016 20:00,0.463629141,0.463629141
01/02/2016 21:00,0.463707802,0.463707802
01/02/2016 22:00,0.463786462,0.463786462
01/02/2016 23:00,0.463865122,0.463865122
01/03/2016 00:00,0.463943782,0.463943782
01/03/2016 01:00,0.464471402,0.464471402
01/03/2016 02:00,0.464999022,0.464999022
01/03/2016 03:00,0.465526642,0.465526642
01/03/2016 04:00,0.466054261,0.466054261
01/03/2016 05:00,0.466581881,0.466581881
01/03/2016 06:00,0.467109501,0.467109501
01/03/2016 07:00,0.467637121,0.467637121
01/03/2016 08:00,0.468164741,0.468164741
01/03/2016 09:00,0.468692361,0.468692361
01/03/2016 10:00,0.46921998,0.46921998
01/03/2016 11:00,0.4697476,0.4697476
01/03/2016 12:00,0.47027522,0.47027522
01/03/2016 13:00,0.47080284,0.47080284
01/03/2016 14:00,0.47133046,0.47133046
01/03/2016 15:00,0.47185808,0.47185808
01/03/2016 16:00,0.4723857,0.4723857
01/03/2016 17:00,0.472913319,0.472913319
01/03/2016 18:00,0.473440939,0.473440939
01/03/2016 19:00,0.473968559,0.473968559
01/03/2016 20:00,0.474496179,0.474496179
01/03/2016 21:00,0.475023799,0.475023799
01/03/2016 22:00,0.475551419,0.475551419
01/03/2016 23:00,0.476079038,0.476079038
01/04/2016 00:00,0.476606658,0.476606658
01/04/2016 01:00,0.477640276,0.477640276
01/04/2016 02:00,0.478673893,0.478673893
01/04/2016 03:00,0.479707511,0.479707511
01/04/2016 04:00,0.480741129,0.480741129
01/04/2016 05:00,0.481774746,0.481774746
01/04/2016 06:00,0.482808364,0.482808364
01/04/2016 07:00,0.483841982,0.483841982
01/04/2016 08:00,0.484875599,0.484875599
01/04/2016 09:00,0.485909217,0.485909217
01/04/2016 10:00,0.486942834,0.486942834
01/04/2016 11:00,0.487976452,0.487976452
01/04/2016 12:00,0.48901007,0.48901007
01/04/2016 13:00,0.490043687,0.490043687
01/04/2016 14:00,0.491077305,0.491077305
01/04/2016 15:00,0.492110922,0.492110922
01/04/2016 16:00,0.49314454,0.49314454
01/04/2016 17:00,0.494178158,0.494178158
