,HDAM,HPHS
01/01/2016 00:00,0.215674081,0.215674081
01/01/2016 01:00,0.21579403,0.21579403
01/01/2016 02:00,0.215913979,0.215913979
01/01/2016 03:00,0.216033928,0.216033928
01/01/2016 04:00,0.216153877,0.216153877
01/01/2016 05:00,0.216273826,0.216273826
01/01/2016 06:00,0.216393775,0.216393775
01/01/2016 07:00,0.216513724,0.216513724
01/01/2016 08:00,0.216633672,0.216633672
01/01/2016 09:00,0.216753621,0.216753621
01/01/2016 10:00,0.21687357,0.21687357
01/01/2016 11:00,0.216993519,0.216993519
01/01/2016 12:00,0.217113468,0.217113468
01/01/2016 13:00,0.217233417,0.217233417
01/01/2016 14:00,0.217353366,0.217353366
01/01/2016 15:00,0.217473315,0.217473315
01/01/2016 16:00,0.217593263,0.217593263
01/01/2016 17:00,0.217713212,0.217713212
01/01/2016 18:00,0.217833161,0.217833161
01/01/2016 19:00,0.21795311,0.21795311
01/01/2016 20:00,0.218073059,0.218073059
01/01/2016 21:00,0.218193008,0.218193008
01/01/2016 22:00,0.218312957,0.218312957
01/01/2016 23:00,0.218432906,0.218432906
01/02/2016 00:00,0.218552854,0.218552854
01/02/2016 01:00,0.218629599,0.218629599
01/02/2016 02:00,0.218706343,0.218706343
01/02/2016 03:00,0.218783088,0.218783088
01/02/2016 04:00,0.218859833,0.218859833
01/02/2016 05:00,0.218936577,0.218936577
01/02/2016 06:00,0.219013322,0.219013322
01/02/2016 07:00,0.219090066,0.219090066
01/02/2016 08:00,0.219166811,0.219166811
01/02/2016 09:00,0.219243555,0.219243555
01/02/2016 10:00,0.2193203,0.2193203
01/02/2016 11:00,0.219397044,0.219397044
01/02/2016 12:00,0.219473789,0.219473789
01/02/2016 13:00,0.219550533,0.219550533
01/02/2016 14:00,0.219627278,0.219627278
01/02/2016 15:00,0.219704022,0.219704022
01/02/2016 16:00,0.219780767,0.219780767
01/02/2016 17:00,0.219857512,0.219857512
01/02/2016 18:00,0.219934256,0.219934256
