,HDAM,HPHS
01/01/2016 00:00,0.52159426,0.52159426
01/01/2016 01:00,0.521946961,0.521946961
01/01/2016 02:00,0.522299662,0.522299662
01/01/2016 03:00,0.522652363,0.522652363
01/01/2016 04:00,0.523005064,0.523005064
01/01/2016 05:00,0.523357765,0.523357765
01/01/2016 06:00,0.523710466,0.523710466
01/01/2016 07:00,0.524063167,0.524063167
01/01/2016 08:00,0.524415868,0.524415868
01/01/2016 09:00,0.524768569,0.524768569
01/01/2016 10:00,0.52512127,0.52512127
01/01/2016 11:00,0.525473971,0.525473971
01/01/2016 12:00,0.525826672,0.525826672
01/01/2016 13:00,0.526179373,0.526179373
01/01/2016 14:00,0.526532074,0.526532074
01/01/2016 15:00,0.526884775,0.526884775
01/01/2016 16:00,0.527237476,0.527237476
01/01/2016 17:00,0.527590177,0.527590177
01/01/2016 18:00,0.527942878,0.527942878
01/01/2016 19:00,0.528295579,0.528295579
01/01/2016 20:00,0.52864828,0.52864828
01/01/2016 21:00,0.529000981,0.529000981
01/01/2016 22:00,0.529353682,0.529353682
01/01/2016 23:00,0.529706383,0.529706383
01/02/2016 00:00,0.530059084,0.530059084
01/02/2016 01:00,0.530268076,0.530268076
01/02/2016 02:00,0.530477069,0.530477069
01/02/2016 03:00,0.530686062,0.530686062
01/02/2016 04:00,0.530895055,0.530895055
01/02/2016 05:00,0.531104048,0.531104048
01/02/2016 06:00,0.53131304,0.53131304
01/02/2016 07:00,0.531522033,0.531522033
01/02/2016 08:00,0.531731026,0.531731026
01/02/2016 09:00,0.531940019,0.531940019
01/02/2016 10:00,0.532149012,0.532149012
01/02/2016 11:00,0.532358004,0.532358004
01/02/2016 12:00,0.532566997,0.532566997
01/02/2016 13:00,0.53277599,0.53277599
01/02/2016 14:00,0.532984983,0.532984983
01/02/2016 15:00,0.533193975,0.533193975
01/02/2016 16:00,0.533402968,0.533402968
01/02/2016 17:00,0.533611961,0.533611961
01/02/2016 18:00,0.533820954,0.533820954
01/02/2016 19:00,0.534029947,0.534029947
01/02/2016 20:00,0.534238939,0.534238939
01/02/2016 21:00,0.534447932,0.534447932
01/02/2016 22:00,0.534656925,0.534656925
01/02/2016 23:00,0.534865918,0.534865918
01/03/2016 00:00,0.535074911,0.535074911
01/03/2016 01:00,0.535824657,0.535824657
01/03/2016 02:00,0.536574403,0.536574403
01/03/2016 03:00,0.537324149,0.537324149
01/03/2016 04:00,0.538073895,0.538073895
01/03/2016 05:00,0.538823642,0.538823642
01/03/2016 06:00,0.539573388,0.539573388
01/03/2016 07:00,0.540323134,0.540323134
01/03/2016 08:00,0.54107288,0.54107288
01/03/2016 09:00,0.541822627,0.541822627
01/03/2016 10:00,0.542572373,0.542572373
01/03/2016 11:00,0.543322119,0.543322119
01/03/2016 12:00,0.544071865,0.544071865
01/03/2016 13:00,0.544821611,0.544821611
01/03/2016 14:00,0.545571358,0.545571358
01/03/2016 15:00,0.546321104,0.546321104
01/03/2016 16:00,0.54707085,0.54707085
01/03/2016 17:00,0.547820596,0.547820596
01/03/2016 18:00,0.548570343,0.548570343
01/03/2016 19:00,0.549320089,0.549320089
01/03/2016 20:00,0.550069835,0.550069835
01/03/2016 21:00,0.550819581,0.550819581
01/03/2016 22:00,0.551569327,0.551569327
01/03/2016 23:00,0.552319074,0.552319074
01/04/2016 00:00,0.55306882,0.55306882
01/04/2016 01:00,0.554598286,0.554598286
01/04/2016 02:00,0.556127752,0.556127752
01/04/2016 03:00,0.557657218,0.557657218
01/04/2016 04:00,0.559186683,0.559186683
01/04/2016 05:00,0.560716149,0.560716149
01/04/2016 06:00,0.562245615,0.562245615
01/04/2016 07:00,0.563775081,0.563775081
01/04/2016 08:00,0.565304547,0.565304547
01/04/2016 09:00,0.566834013,0.566834013
01/04/2016 10:00,0.568363479,0.568363479
01/04/2016 11:00,0.569892944,0.569892944
01/04/2016 12:00,0.57142241,0.57142241
01/04/2016 13:00,0.572951876,0.572951876
01/04/2016 14:00,0.574481342,0.574481342
01/04/2016 15:00,0.576010808,0.576010808
01/04/2016 16:00,0.577540274,0.577540274
01/04/2016 17:00,0.57906974,0.57906974
01/04/2016 18:00,0.580599206,0.580599206
01/04/2016 19:00,0.582128671,0.582128671
01/04/2016 20:00,0.583658137,0.583658137
01/04/2016 21:00,0.585187603,0.585187603
01/04/2016 22:00,0.586717069,0.586717069
01/04/2016 23:00,0.588246535,0.588246535
01/05/2016 00:00,0.589776001,0.589776001
01/05/2016 01:00,0.590786372,0.590786372
01/05/2016 02:00,0.591796743,0.591796743
01/05/2016 03:00,0.592807115,0.592807115
01/05/2016 04:00,0.593817486,0.593817486
01/05/2016 05:00,0.594827857,0.594827857
01/05/2016 06:00,0.595838229,0.595838229
01/05/2016 07:00,0.5968486,0.5968486
01/05/2016 08:00,0.597858971,0.597858971
01/05/2016 09:00,0.598869343,0.598869343
01/05/2016 10:00,0.599879714,0.599879714
01/05/2016 11:00,0.600890085,0.600890085
01/05/2016 12:00,0.601900457,0.601900457
01/05/2016 13:00,0.602910828,0.602910828
01/05/2016 14:00,0.603921199,0.603921199
01/05/2016 15:00,0.604931571,0.604931571
01/05/2016 16:00,0.605941942,0.605941942
01/05/2016 17:00,0.606952313,0.606952313
01/05/2016 18:00,0.607962684,0.607962684
01/05/2016 19:00,0.608973056,0.608973056
01/05/2016 20:00,0.609983427,0.609983427
01/05/2016 21:00,0.610993798,0.610993798
01/05/2016 22:00,0.61200417,0.61200417
01/05/2016 23:00,0.613014541,0.613014541
01/06/2016 00:00,0.614024912,0.614024912
01/06/2016 01:00,0.613913539,0.613913539
01/06/2016 02:00,0.613802165,0.613802165
01/06/2016 03:00,0.613690791,0.613690791
01/06/2016 04:00,0.613579417,0.613579417
01/06/2016 05:00,0.613468043,0.613468043
01/06/2016 06:00,0.613356669,0.613356669
01/06/2016 07:00,0.613245295,0.613245295
01/06/2016 08:00,0.613133922,0.613133922
01/06/2016 09:00,0.613022548,0.613022548
01/06/2016 10:00,0.612911174,0.612911174
01/06/2016 11:00,0.6127998,0.6127998
01/06/2016 12:00,0.612688426,0.612688426
01/06/2016 13:00,0.612577052,0.612577052
01/06/2016 14:00,0.612465678,0.612465678
01/06/2016 15:00,0.612354305,0.612354305
01/06/2016 16:00,0.612242931,0.612242931
01/06/2016 17:00,0.612131557,0.612131557
